title,description,category_x,image_url,text_cleaned
Lakefront Trail,"Wake up early and rent a Divvy Bike from the city’s bike share program to pedal down the , a paved path that borders Lake Michigan on one side and the soaring skyline on the other. Take leisurely stops to walk on the beach, explore a park, or check out the many museums and attractions all along the trail.",romantic weekend,https://cdn.choosechicago.com/uploads/2019/06/couples-biking-750x422.jpg,wake up early and rent a divvy bike from the city s bike share program to pedal down the a paved path that borders lake michigan on one side and the soaring skyline on the other take leisurely stops to walk on the beach explore a park or check out the many museums and attractions all along the trail 
Maggie Daley Park,"Park your bikes at , where you’ll find more outdoor fun at the all-seasons Skating Ribbon. Hold hands at you ice skate along the icy path in the winter, or challenge for your date to a scooter race in the summer. Afterward, take a quick walk to Millennium Park and snap a picture together in front of Cloud Gate, aka “The Bean”, the ultimate Chicago photo opp.",romantic weekend,,park your bikes at where you ll find more outdoor fun at the all seasons skating ribbon hold hands at you ice skate along the icy path in the winter or challenge for your date to a scooter race in the summer afterward take a quick walk to millennium park and snap a picture together in front of cloud gate aka “the bean the ultimate chicago photo opp 
Chicago Athletic Association,"Just across Michigan Avenue, you’ll find the . This hip hotel, located in a historic building, is home to several hot spots that are popular with visitors and locals alike. Take the elevators up to Cindy’s, the rooftop bar and restaurant. Order a cocktail and enjoy the sweeping views of Millennium Park and Lake Michigan.",romantic weekend,,just across michigan avenue you ll find the this hip hotel located in a historic building is home to several hot spots that are popular with visitors and locals alike take the elevators up to cindy s the rooftop bar and restaurant order a cocktail and enjoy the sweeping views of millennium park and lake michigan 
Art Institute of Chicago,"Spend the afternoon with some of the world’s most famous masterpieces at the , one of the country’s oldest and largest art museums. Don’t miss the extensive Impressionism collection and the striking Modern Wing.",romantic weekend,https://cdn.choosechicago.com/uploads/2019/08/07195792-e1566185494402-900x530.jpg,spend the afternoon with some of the world s most famous masterpieces at the one of the country s oldest and largest art museums don t miss the extensive impressionism collection and the striking modern wing 
Geja’s Cafe,"Have dinner at Blue Door Kitchen & Garden, a seasonally focused spot with a vintage vibe and a gorgeous hidden-garden patio. Or head to , a Chicago spot known for romance. Enjoy Swiss gruyere fondue and sizzling meats for dinner, following by chocolate for dessert.",romantic weekend,,have dinner at blue door kitchen garden a seasonally focused spot with a vintage vibe and a gorgeous hidden garden patio or head to a chicago spot known for romance enjoy swiss gruyere fondue and sizzling meats for dinner following by chocolate for dessert 
Kingston Mines,"Keep your date night going at , a legendary blues club that features live music every night of the week. You can see everyone from emerging talent to celebrated musicians hit the stage, and the dance floor keeps going till the early morning hours.",romantic weekend,,keep your date night going at a legendary blues club that features live music every night of the week you can see everyone from emerging talent to celebrated musicians hit the stage and the dance floor keeps going till the early morning hours 
MingHin Cuisine,"Enjoy a mid-day dim sum brunch at  in Chinatown. Take your pick from steaming bamboo trays of shrimp dumplings, honey-glazed short ribs, fried spring rolls, pork buns, and more — all perfect for sharing.",romantic weekend,https://cdn.choosechicago.com/uploads/2019/06/AA_Gejas_11-900x600.jpg,enjoy a mid day dim sum brunch at in chinatown take your pick from steaming bamboo trays of shrimp dumplings honey glazed short ribs fried spring rolls pork buns and more — all perfect for sharing 
Ping Tom Memorial Park,"Walk off brunch with a stroll through bustling Chinatown. Pop into souvenir shops, gaze at the ornate Chinese architecture adorning the streets, and find some solitude at scenic . Rent a two-person kayak and set off on the Chicago River, where you’ll be rewarded with stunning views of the city skyline.",romantic weekend,,walk off brunch with a stroll through bustling chinatown pop into souvenir shops gaze at the ornate chinese architecture adorning the streets and find some solitude at scenic rent a two person kayak and set off on the chicago river where you ll be rewarded with stunning views of the city skyline 
FlyHeli Tours,"For an unforgettable date night experience, schedule a private helicopter tour with . These breathtaking tours include unbelievable views of the lake, skyline, and the city’s most iconic landmarks. Schedule a private tour at sunset for a romantic atmosphere.",romantic weekend,,for an unforgettable date night experience schedule a private helicopter tour with these breathtaking tours include unbelievable views of the lake skyline and the city s most iconic landmarks schedule a private tour at sunset for a romantic atmosphere 
Mama Delia,"For dinner, check out the sultry , where you’ll find Spanish tapas downstairs and a secret burlesque bar upstairs.",romantic weekend,,for dinner check out the sultry where you ll find spanish tapas downstairs and a secret burlesque bar upstairs 
The Violet Hour,"For a night cap, head to . The entrance to this acclaimed cocktail spot is hidden behind an ever-changing mural, but the line forming out front usually gives it away. Inside, you’ll find modern speakeasy vibes and next-level mixology — the perfect spot to end your romantic Chicago getaway.",romantic weekend,,for a night cap head to the entrance to this acclaimed cocktail spot is hidden behind an ever changing mural but the line forming out front usually gives it away inside you ll find modern speakeasy vibes and next level mixology — the perfect spot to end your romantic chicago getaway 
Garfield Park Conservatory,"Opened in 1908,  is one of the largest conservatories in the nation, occupying two acres of public greenhouse space and 10 acres of outdoor gardens on a beautiful site designed by William LeBaron Jenney. The conservatory is known as “landscape art under glass,” and one visit to environments like the Palm House, Fern Room, Desert House, and Aroid House will tell you why. You’ll also find waterfalls, koi ponds, turtles, and birds as you wander the conservatory’s lush expanses. , 300 N. Central Park Ave. free admission.",indoor gardens,https://cdn.choosechicago.com/uploads/2019/06/AA_EPIC_GarfieldParkCons_18-900x600.jpg,opened in  is one of the largest conservatories in the nation occupying two acres of public greenhouse space and  acres of outdoor gardens on a beautiful site designed by william lebaron jenney the conservatory is known as “landscape art under glass and one visit to environments like the palm house fern room desert house and aroid house will tell you why you ll also find waterfalls koi ponds turtles and birds as you wander the conservatory s lush expanses  n central park ave free admission 
Chicago Botanic Garden,"Visit a living plant museum at the , located on the grounds of the Forest Preserves of Cook County in the Chicago suburb of Glencoe. Intermingled among its themed gardens and natural areas are The Greenhouses, home to fragrant flowering, edible, and utilitarian plants in environments such as tropical rainforest and hot desert. This is also where you’ll find the popular annual Orchid Show, held February through March. , 1000 Lake Cook Road, Glencoe",indoor gardens,https://cdn.choosechicago.com/uploads/2019/06/Chicago-Botanic-GardenCarillon-Concert-Seriescarillon-concert-08853L-1.jpg,visit a living plant museum at the located on the grounds of the forest preserves of cook county in the chicago suburb of glencoe intermingled among its themed gardens and natural areas are the greenhouses home to fragrant flowering edible and utilitarian plants in environments such as tropical rainforest and hot desert this is also where you ll find the popular annual orchid show held february through march  lake cook road glencoe
Harold Washington Library’s,"Quiet contemplation reigns within  winter garden. There really is no better place to lose yourself in the pages of a good book. The garden’s glass-roofed atrium offers natural, filtered light year-round, ensuring leafy plants and trees thrive and blossom. While you’re there, take in the building’s exterior architecture, too — particularly the roof. Four 12-foot barn owls grace the roof’s corners, accompanied by 75-foot-wide and 40-foot-high swirls of leaves and seed pods, representing growth and wisdom. A 3-ton great horned owl, with 20-foot wingspan, sits above the main entrance on State Street. It clutches an open book, ready to take flight — in other words, always return your books! Winter Garden at Harold Washington Library, 400 S. State St., Loop, free admission.",indoor gardens,https://cdn.choosechicago.com/uploads/2019/06/hw-winter-garden-900x600.jpg,quiet contemplation reigns within winter garden there really is no better place to lose yourself in the pages of a good book the garden s glass roofed atrium offers natural filtered light year round ensuring leafy plants and trees thrive and blossom while you re there take in the building s exterior architecture too — particularly the roof four  foot barn owls grace the roof s corners accompanied by  foot wide and  foot high swirls of leaves and seed pods representing growth and wisdom a  ton great horned owl with  foot wingspan sits above the main entrance on state street it clutches an open book ready to take flight — in other words always return your books winter garden at harold washington library  s state st loop free admission 
Geja’s Cafe,"Known as one of the city’s most romantic restaurants,  has been serving couples for more than 50 years. The interior feels like a cozy wine cellar, with cozy curtained booths, candlelit tables, and a live guitarist. Everything is cooked in a sizzling fondue pot right at your table, from the creamy Swiss gruyère cheese appetizer to the velvety Belgian chocolate dessert. It’s the perfect spot for a first date, special occasion, or even a proposal (Geja’s has seen thousands of engagements over the years).",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/06/AA_Gejas_44-900x600.jpg,known as one of the city s most romantic restaurants has been serving couples for more than  years the interior feels like a cozy wine cellar with cozy curtained booths candlelit tables and a live guitarist everything is cooked in a sizzling fondue pot right at your table from the creamy swiss gruyère cheese appetizer to the velvety belgian chocolate dessert it s the perfect spot for a first date special occasion or even a proposal geja s has seen thousands of engagements over the years 
"Table, Donkey and Stick","Awarded a Michelin Bib Gourmand distinction, Logan Square’s  pays homage to the culinary traditions of the Alps. The warm, cozy ambiance at this tiny neighborhood eatery is the perfect setting to enjoy charcuterie, seasonal small plates, and European-inspired entrees.",romantic restaurants,,awarded a michelin bib gourmand distinction logan square s pays homage to the culinary traditions of the alps the warm cozy ambiance at this tiny neighborhood eatery is the perfect setting to enjoy charcuterie seasonal small plates and european inspired entrees 
The Press Room,"Radiating speakeasy vibes with its dim lighting and vintage decor,  offers a uniquely intimate setting for date night. Nestled in the basement of a century-old building, this West Loop restaurant and cocktail bar features curated wine selections that complement scratch-made pasta and savory bites.",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/06/2023-03-17_Appetizer_New-Potatoes_The-Press-Room_1-900x600.jpg,radiating speakeasy vibes with its dim lighting and vintage decor offers a uniquely intimate setting for date night nestled in the basement of a century old building this west loop restaurant and cocktail bar features curated wine selections that complement scratch made pasta and savory bites 
RPM Seafood,"Overlooking the majestic Chicago River,  is an upscale fine-dining establishment. Ideal for special occasions, this centrally located waterfront restaurant is home to a full-service bar and an extensive menu of fresh seafood, housemade pasta dishes, and prime cuts of steak.",romantic restaurants,https://cdn.choosechicago.com/uploads/2020/02/RPM-Seafood-©John-Stoffer-900x580.png,overlooking the majestic chicago river is an upscale fine dining establishment ideal for special occasions this centrally located waterfront restaurant is home to a full service bar and an extensive menu of fresh seafood housemade pasta dishes and prime cuts of steak 
Francois Frankie,"It’s guaranteed to be an unforgettable date night when you’re seated at the rotating carousel bar inside . This American brasserie is adorned with lush jewel tones, original murals, and twinkling string lights that create a sophisticated atmosphere. Enjoy the menu of refined dishes like freshly shucked oysters, steak frites, and croque monsieur egg rolls.",romantic restaurants,,it s guaranteed to be an unforgettable date night when you re seated at the rotating carousel bar inside this american brasserie is adorned with lush jewel tones original murals and twinkling string lights that create a sophisticated atmosphere enjoy the menu of refined dishes like freshly shucked oysters steak frites and croque monsieur egg rolls 
Bronzeville Winery,"Warm, spacious, and community-focused,  stands out with fresh contemporary American fare and a curated wine list highlighting labels owned by women and minority-owned producers. Located in a historic neighborhood, this chic restaurant and wine bar showcases talented DJs and live musicians weekly.",romantic restaurants,https://cdn.choosechicago.com/uploads/2023/02/Bronzeville-Winery-Daniel-Kelleghan-photography-Chicago-2-2-1-1-_F526B24F-5056-A36F-23DC043BD4552BC4-900x606.jpg,warm spacious and community focused stands out with fresh contemporary american fare and a curated wine list highlighting labels owned by women and minority owned producers located in a historic neighborhood this chic restaurant and wine bar showcases talented djs and live musicians weekly 
BOKA,"has earned a Michelin star every year since 2011 thanks to its exceptional hospitality and award-winning seasonal American cuisine. Featuring stylish dining rooms that blend modern and vintage decor, this high-end Lincoln Park establishment crafts unforgettable farm-to-table dishes using locally sourced ingredients.",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/05/ebk_20140213_boka_interior_high_0002_c2c374fa-8c07-4596-8c88-1b5bf9721935-e1563989923853-900x569.jpg,has earned a michelin star every year since  thanks to its exceptional hospitality and award winning seasonal american cuisine featuring stylish dining rooms that blend modern and vintage decor this high end lincoln park establishment crafts unforgettable farm to table dishes using locally sourced ingredients 
Ella Elli,"Channeling the flavors and techniques of French and Italian cuisine,  in Lakeview serves as a distinguished gathering spot to enjoy superb wine, food, and conversation. Share cocktails and small plates in front of the fireplace or in one of the many tucked-away alcoves.",romantic restaurants,,channeling the flavors and techniques of french and italian cuisine in lakeview serves as a distinguished gathering spot to enjoy superb wine food and conversation share cocktails and small plates in front of the fireplace or in one of the many tucked away alcoves 
Segnatore,"Leveraging locally available herbs and ingredients,  draws inspiration from the history of Italy’s folk healers. The moody interiors and carefully crafted menu at this neighborhood gem reflect the European culinary roots while also celebrating the bounty and warmth of Midwestern ingredients and culture. Located in a bustling stretch of Humboldt Park, it’s the perfect starting point for a night on the town.",romantic restaurants,,leveraging locally available herbs and ingredients draws inspiration from the history of italy s folk healers the moody interiors and carefully crafted menu at this neighborhood gem reflect the european culinary roots while also celebrating the bounty and warmth of midwestern ingredients and culture located in a bustling stretch of humboldt park it s the perfect starting point for a night on the town 
Sapori Trattoria,"For a relaxed date night, drop by  in Lincoln Park to savor traditional Italian comfort food in a classy yet comfortable setting. Whether dining indoors or outside on the patio, you can expect a noteworthy meal involving antipasti, fresh pasta, homemade desserts, and tasty libations.",romantic restaurants,,for a relaxed date night drop by in lincoln park to savor traditional italian comfort food in a classy yet comfortable setting whether dining indoors or outside on the patio you can expect a noteworthy meal involving antipasti fresh pasta homemade desserts and tasty libations 
The Dawson,"In River West,  plays off the neighborhood’s history with an industrial vibe made upscale. The menu of globally inspired American cuisine showcases the finest ingredients of the season, from fresh seafood to colorful veggies. It’s the perfect date night out, whether you’re on the cozy patio with an outdoor fireplace or in the candlelit dining room.",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/06/The-Dawson-32-900x600.jpg,in river west plays off the neighborhood s history with an industrial vibe made upscale the menu of globally inspired american cuisine showcases the finest ingredients of the season from fresh seafood to colorful veggies it s the perfect date night out whether you re on the cozy patio with an outdoor fireplace or in the candlelit dining room 
Trivoli Tavern,"Tucked away in a West Loop cobblestone courtyard,  is truly a hidden gem. As you cross the threshold, the dining room unveils an old-world charm enhanced by dark wooden accents and furniture bathed in a muted warm glow. Enjoy coal-fired seafood, fresh oysters, and expertly grilled steak and chops paired with robust drinks.",romantic restaurants,,tucked away in a west loop cobblestone courtyard is truly a hidden gem as you cross the threshold the dining room unveils an old world charm enhanced by dark wooden accents and furniture bathed in a muted warm glow enjoy coal fired seafood fresh oysters and expertly grilled steak and chops paired with robust drinks 
modern Japanese fare,"This acclaimed spot in the West Loop specializes in . In the main dining room, you’ll find a stylish space and a menu that blends traditional flavors and contemporary techniques. Order an Imperial strip steak roasted over hot coals or expertly prepared slices of sashimi. After dinner, head downstairs to The Izakaya. This sultry, subterranean bar features hand-painted Japanese menus, moody neon lights, and a curated selection of cocktails, sakes, and Japanese whiskeys.",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/06/IMG_6311-900x600.jpg,this acclaimed spot in the west loop specializes in in the main dining room you ll find a stylish space and a menu that blends traditional flavors and contemporary techniques order an imperial strip steak roasted over hot coals or expertly prepared slices of sashimi after dinner head downstairs to the izakaya this sultry subterranean bar features hand painted japanese menus moody neon lights and a curated selection of cocktails sakes and japanese whiskeys 
Gilt Bar’s,"This hip hideaway is a romantic spot to take your date, with red velvet booths, soft candlelight, and a dramatic bar backed with gilded mirrors.  contemporary American dishes are made for sharing, including the house-made pasta, seafood, and wood-fired entrees. The drink menu is cocktail driven, with an emphasis on classic favorites. If there’s a wait, head downstairs to The Library, a hidden drinking den that’s even more intimate than the dining space.",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/06/Gilt_Bar_IMG_0690_3c534c6e-988b-46f2-a960-ebb3c8be78e3-1.jpg,this hip hideaway is a romantic spot to take your date with red velvet booths soft candlelight and a dramatic bar backed with gilded mirrors contemporary american dishes are made for sharing including the house made pasta seafood and wood fired entrees the drink menu is cocktail driven with an emphasis on classic favorites if there s a wait head downstairs to the library a hidden drinking den that s even more intimate than the dining space 
Sepia,"Located in a former 1890s print shop,  is all about simple sophistication. The brick and wood interior evokes old-school Chicago, while the food is all modern. Acclaimed chef Andrew Zimmerman sources from local artisan suppliers for his seasonal menus, working to showcase the purity and flavor of each ingredient. The impressive cocktail and wine list completes the date night checklist.",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/06/Sepia_d_turner_dining_room_copy_61117e99-bde0-46b1-b307-bcade521bd0b.jpg,located in a former s print shop is all about simple sophistication the brick and wood interior evokes old school chicago while the food is all modern acclaimed chef andrew zimmerman sources from local artisan suppliers for his seasonal menus working to showcase the purity and flavor of each ingredient the impressive cocktail and wine list completes the date night checklist 
Elske’s,"The name means “love” in Danish, and there’s a husband-and-wife duo running the kitchen. It doesn’t get more romantic than that. The interior features minimalist decor and soft lighting, anchored by a small patio and working fireplace. The tasting menu offers multiple courses of artfully presented dishes made with seasonal ingredients. There’s also an a la carte menu, where you can get a taste of  unique take on Danish cuisine.",romantic restaurants,https://cdn.choosechicago.com/uploads/2019/06/Elske-900x563.jpg,the name means “love in danish and there s a husband and wife duo running the kitchen it doesn t get more romantic than that the interior features minimalist decor and soft lighting anchored by a small patio and working fireplace the tasting menu offers multiple courses of artfully presented dishes made with seasonal ingredients there s also an a la carte menu where you can get a taste of unique take on danish cuisine 
Bavette’s Steakhouse & Bar,"This dimly lit spot is a stylish take on a traditional steakhouse. The sultry space at  is decked out with timeless touches, like comfy leather booths, mirrored walls, and glittering antique chandeliers. The menu is old school too, with classic selections like chilled seafood towers, baked crab cakes, and the best cuts of meat. Don’t miss the chocolate cream pie, it’s the perfect dessert for two.",romantic restaurants,,this dimly lit spot is a stylish take on a traditional steakhouse the sultry space at is decked out with timeless touches like comfy leather booths mirrored walls and glittering antique chandeliers the menu is old school too with classic selections like chilled seafood towers baked crab cakes and the best cuts of meat don t miss the chocolate cream pie it s the perfect dessert for two 
Orso’s Restaurant,"Grab a seat in the cozy dining room or on lush patio at Old Town’s , a family-owned Italian spot filled with old-world charm.",date night ideas,https://cdn.choosechicago.com/uploads/2019/05/CH_ChooseChicago_Second_City_Facade_c197ddf4-e7d1-4b92-b003-6d2705f84b93-900x600.jpg,grab a seat in the cozy dining room or on lush patio at old town s a family owned italian spot filled with old world charm 
The Second City,"Next, head to  for one of their classic improv shows, featuring some of the top sketches, songs and improv from their more than 50-year history. The company that brought the world Tina Fey, Stephen Colbert, and Steve Carell will have you chuckling all the way to post-show drinks.",date night ideas,,next head to for one of their classic improv shows featuring some of the top sketches songs and improv from their more than  year history the company that brought the world tina fey stephen colbert and steve carell will have you chuckling all the way to post show drinks 
The J. Parker,"Have a champagne toast at the ultra-romantic, all-season rooftop , with 360-degree views of Lincoln Park and Lake Michigan as the perfect backdrop.",date night ideas,,have a champagne toast at the ultra romantic all season rooftop with  degree views of lincoln park and lake michigan as the perfect backdrop 
Ambassador Chicago,"End the night basking in chic Gold Coast luxury in a Celebrity Suite at the . These spacious rooms feature king-size beds with imported linens, separate living spaces, and bathrooms with tubs, so you can soak up the romance in style.",date night ideas,,end the night basking in chic gold coast luxury in a celebrity suite at the these spacious rooms feature king size beds with imported linens separate living spaces and bathrooms with tubs so you can soak up the romance in style 
Chicago Distilling Company,"Visit Logan Square’s  for a tour to learn how the third-generation distillers turn locally farmed grain into vodka, whiskey, and award-winning gin. You’ll find Emporium Arcade Bar just next door, where you can challenge your date to a match on one of the 24 arcade games, 13 pinball machines, or six pool tables.",date night ideas,https://cdn.choosechicago.com/uploads/2019/05/CH-Longman-900x599.png,visit logan square s for a tour to learn how the third generation distillers turn locally farmed grain into vodka whiskey and award winning gin you ll find emporium arcade bar just next door where you can challenge your date to a match on one of the  arcade games  pinball machines or six pool tables 
Longman & Eagle,"Your resting place for the night? Bar-restaurant-inn . The six-room hideaway sits above the first-floor, whiskey-focused tavern and features eclectic furnishings and commissioned art.",date night ideas,,your resting place for the night bar restaurant inn the six room hideaway sits above the first floor whiskey focused tavern and features eclectic furnishings and commissioned art 
Ivy Hotel,"Book an intimate apartment-style suite at , a boutique gem just off The Magnificent Mile. The 63 guest rooms come with cozy Michigan goose-down pillows and Frette bathrobes. You can get the romance going with breakfast in bed.",date night ideas,https://cdn.choosechicago.com/uploads/2019/05/AA_Tilt_Hancock_16-900x576.jpg,book an intimate apartment style suite at a boutique gem just off the magnificent mile the  guest rooms come with cozy michigan goose down pillows and frette bathrobes you can get the romance going with breakfast in bed 
Gold Coast,"Embark on a romantic stroll or bike ride through Chicago’s , one of the country’s most affluent neighborhoods. Admire historic mansions and maybe pop into one of the areas swanky boutiques.",date night ideas,,embark on a romantic stroll or bike ride through chicago s one of the country s most affluent neighborhoods admire historic mansions and maybe pop into one of the areas swanky boutiques 
360 CHICAGO,"Next, jet up to the 94th floor of 875 N. Michigan Ave. (formerly the John Hancock Center). Dare to step onto TILT at , the observation deck’s 1,000-foot thrill ride that offers heart-pounding views of the skyline. Afterward, have dinner on a rooftop at NoMi Kitchen or Shanghai Terrace. Watching the city skyline light up around you is the perfect way to end a romantic date night.",date night ideas,,next jet up to the th floor of  n michigan ave formerly the john hancock center dare to step onto tilt at the observation deck s   foot thrill ride that offers heart pounding views of the skyline afterward have dinner on a rooftop at nomi kitchen or shanghai terrace watching the city skyline light up around you is the perfect way to end a romantic date night 
Summer Music Series,"The pavilion features a state-of-the-art sound system designed to mimic the acoustics of an indoor theatre. Grab a seat or sprawl out on the Great Lawn with a picnic as you take in Millennium Park’s free events like the annual  and Summer Film Series, and a host of summer festivals, including the Grant Park Music Festival, the Chicago Gospel Music Festival, the Chicago Blues Festival, and the Chicago Jazz Festival.",MillenniumPark,,the pavilion features a state of the art sound system designed to mimic the acoustics of an indoor theatre grab a seat or sprawl out on the great lawn with a picnic as you take in millennium park s free events like the annual and summer film series and a host of summer festivals including the grant park music festival the chicago gospel music festival the chicago blues festival and the chicago jazz festival 
The Bean,"You can’t come to Chicago and not visit , one of the city’s most famous icons. Unveiled in 2005, this is famed artist Anish Kapoor’s first outdoor public sculpture in the United States, and one of the largest sculptures of its kind in the world. See yourself and the city skyline reflected on Cloud Gate’s shiny surfaces and snap the ultimate Chicago photo opp.",MillenniumPark,https://cdn.choosechicago.com/uploads/2020/03/sawyer-bengtson-tnv84LOjes4-unsplash-900x600.jpg,you can t come to chicago and not visit one of the city s most famous icons unveiled in  this is famed artist anish kapoor s first outdoor public sculpture in the united states and one of the largest sculptures of its kind in the world see yourself and the city skyline reflected on cloud gate s shiny surfaces and snap the ultimate chicago photo opp 
Lurie Garden,"is an award-winning masterpiece of botanical landscaping. Throughout the year, and for every season, native perennials and bulbs give the garden great diversity, creating a haven for wildlife, birds, and insects. Located in the southeast corner of Millennium Park,  is a peaceful oasis in the middle of the bustling downtown.",MillenniumPark,https://cdn.choosechicago.com/uploads/2019/07/AA_Summer_MilPark_FlowerGarden_09-e1564003801666-900x503.jpg,s an award winning masterpiece of botanical landscaping throughout the year and for every season native perennials and bulbs give the garden great diversity creating a haven for wildlife birds and insects located in the southeast corner of millennium park is a peaceful oasis in the middle of the bustling downtown 
Maggie Daley Park,"The spectacular  is a kid’s fantasyland. The fun Play Garden is fashioned in the spirit of Alice in Wonderland and Charlie and the Chocolate Factory, with suspension bridges, tube slides, and a big ship to explore. Older kids flock to the 40-foot climbing wall and 18-hole mini golf course, putting through Chicago-themed obstacles.",MillenniumPark,https://cdn.choosechicago.com/uploads/2019/05/AA1_5360-900x599.jpg,the spectacular is a kid s fantasyland the fun play garden is fashioned in the spirit of alice in wonderland and charlie and the chocolate factory with suspension bridges tube slides and a big ship to explore older kids flock to the  foot climbing wall and  hole mini golf course putting through chicago themed obstacles 
McCormick Tribune Plaza & Ice Rink,"The  is a year-round attraction along Michigan Avenue. Over the summer, it’s a picturesque alfresco dining space featuring casual bites and cocktails. In winter, it’s a charming ice rink, with Cloud Gate and the city skyline as its backdrop. The rink is always free, skate rentals are available.",MillenniumPark,https://cdn.choosechicago.com/uploads/2020/01/AbA_IceSkatingMillenniumPark_36-900x600.jpg,the is a year round attraction along michigan avenue over the summer it s a picturesque alfresco dining space featuring casual bites and cocktails in winter it s a charming ice rink with cloud gate and the city skyline as its backdrop the rink is always free skate rentals are available 
Explore more,: Get the full scoop on winter ice skating in Millennium Park.,MillenniumPark,, get the full scoop on winter ice skating in millennium park 
Summer Music Series,"Millennium Park offers a busy calendar of public events all year round. Don’t miss the beloved  and Summer Film Series, when you can grab a seat on the Great Lawn and enjoy a free show under the stars. The park also is also home to annual festivals, including the Grant Park Music Festival, the Chicago Blues Festival, the Chicago Jazz Festival, and Chicago Gourmet.",MillenniumPark,https://cdn.choosechicago.com/uploads/2022/03/2021_0916_Concert_Serieres_Millennium_Park-29-2-900x600.jpg,millennium park offers a busy calendar of public events all year round don t miss the beloved and summer film series when you can grab a seat on the great lawn and enjoy a free show under the stars the park also is also home to annual festivals including the grant park music festival the chicago blues festival the chicago jazz festival and chicago gourmet 
City of Chicago Christmas Tree,"During the winter, the park is home to the official , along with fun and festive events like a holiday artisan market.",MillenniumPark,,during the winter the park is home to the official along with fun and festive events like a holiday artisan market 
The Boeing Galleries,"comprise two paved outdoor spaces located on the mid-level terraces. Designed for public exhibitions and furnished with seating for park visitors, these free, open-air galleries are home to modern and contemporary art installations that rotate throughout the year.",MillenniumPark,,comprise two paved outdoor spaces located on the mid level terraces designed for public exhibitions and furnished with seating for park visitors these free open air galleries are home to modern and contemporary art installations that rotate throughout the year 
Find more information and plan your route,"‘L’ trainThe Washington & Wabash ‘L’ stop serves the CTA Brown, Green, Orange, Pink, and Purple Lines. .",MillenniumPark,,‘l trainthe washington wabash ‘l stop serves the cta brown green orange pink and purple lines 
"Find schedules, fares, and a map of downtown stations","Metra trainMillennium Park is located directly above the Millennium Park Station at Michigan Avenue and Randolph Street, with access to the Metra Electric District and South Shore Line trains and the downtown pedway system. .",MillenniumPark,,metra trainmillennium park is located directly above the millennium park station at michigan avenue and randolph street with access to the metra electric district and south shore line trains and the downtown pedway system 
Find information and pre-purchase parking,"By carConvenient parking is located in the Millennium Park Garage, Grant Park North, Grant Park South, and East Monroe Garages. .",MillenniumPark,,by carconvenient parking is located in the millennium park garage grant park north grant park south and east monroe garages 
summer in Chicago,"Chicago’s 26 miles of scenic lakefront includes numerous public parks and gardens, an 18-mile Lakefront Trail — and more than two dozen free beaches that open to the public every . Here are a few spots you can kick back and soak in the sun at Chicago’s beautiful beaches.",beaches,,chicago s  miles of scenic lakefront includes numerous public parks and gardens an  mile lakefront trail — and more than two dozen free beaches that open to the public every here are a few spots you can kick back and soak in the sun at chicago s beautiful beaches 
Find Chicago beaches by activities: ,Chicago beaches with waterfront diningChicago beaches with outdoor recreationChicago beaches near museums and attractions,beaches,,chicago beaches with waterfront diningchicago beaches with outdoor recreationchicago beaches near museums and attractions
North Avenue Beach,"is one of Chicago’s most popular beaches with locals and visitors alike, thanks to its spacious sands, cool beachfront bars, and convenient location near other top attractions (like the nearby Lincoln Park Zoo).",beaches,,s one of chicago s most popular beaches with locals and visitors alike thanks to its spacious sands cool beachfront bars and convenient location near other top attractions like the nearby lincoln park zoo 
What to do:,"Ready to work up a sweat? North Avenue Beach offers tons of recreation options. Get out on the water with a paddleboard or kayak or a Jet Ski. You can also rent bikes and cruise down the Lakefront Trail, take a beachfront yoga class, play beach volleyball, or just kick back in the sand and soak in the sun and skyline views.",beaches,https://cdn.choosechicago.com/uploads/2019/06/AA_NorthAveBeach_Vball_01-900x600.jpg,ready to work up a sweat north avenue beach offers tons of recreation options get out on the water with a paddleboard or kayak or a jet ski you can also rent bikes and cruise down the lakefront trail take a beachfront yoga class play beach volleyball or just kick back in the sand and soak in the sun and skyline views 
Where to eat:,"The first thing you’ll notice about North Avenue Beach is the sleek ocean liner-inspired beach house. The top deck is home to Castaways, a casual bar and grill that boasts some stunning views of the city. Also right on the beach, Shore Club offers a more upscale experience. Sip cocktails with your toes in the sand or reserve a private cabana with personalized bottle service.",beaches,https://cdn.choosechicago.com/uploads/2019/12/CC-Air-Water-Show-08-1800x1198.jpg,the first thing you ll notice about north avenue beach is the sleek ocean liner inspired beach house the top deck is home to castaways a casual bar and grill that boasts some stunning views of the city also right on the beach shore club offers a more upscale experience sip cocktails with your toes in the sand or reserve a private cabana with personalized bottle service 
