category,title,description,start_date,start_time,end_date,end_time,location,address,image_url
Theatre & Performing Arts,"PUFFS, or, Seven Increasingly Eventful Years at a Certain School of Magic and Magic","Otherworld Theatre Company, the premier sci-fi and fantasy theatre company in North America, stages Matt Cox’s PUFFS, or, Seven Increasingly Eventful Years at a Certain…","Thursday, April 25th",7:00 p.m.,,9:00 p.m.,Otherworld Theatre,3914 N. Clark St.,https://cdn.choosechicago.com/uploads/2023/05/Puffs-the-Play-Poster-2-900x582.png
Theatre & Performing Arts,The Roar Speakeasy: A Prohibition Era Experience,Go back in time to Chicago’s Prohibition Era at The Roar on Rush! A lively Speakeasy that lights the way to a hidden 4-room cocktail…,"Thursday, April 25th",7:00 p.m.,,10:00 p.m.,The Roar on Rush,437 N. Rush Street,https://cdn.choosechicago.com/uploads/2022/11/speak-easy-1-50-900x720.jpg
Music & Comedy,ANARCHY: The Improvised Rock Opera,ANARCHY: The Improvised Rock Opera is a completely sung and completely improvised rock musical featuring Chicago’s finest musical improvisers. These one-night-only comedy rock operas showcase…,"Thursday, April 25th",7:30 p.m.,,8:30 p.m.,iO Theater,1501 N. Kingsbury St.,https://cdn.choosechicago.com/uploads/2024/02/2024-ANARCHY-1800-x-800-900x400.png
Theatre & Performing Arts,BIG LOVE,"[producingbody]’s second show – BIG LOVE by Charles Mee a play – 90 minutes, no intermission. Fifty brides flee their fifty grooms and seek refuge…","Thursday, April 25th",7:30 p.m.,,9:00 p.m.,Chicago Dramatists,"1105 W. Chicago Ave. , Chicago, IL, 60642",https://cdn.choosechicago.com/uploads/2024/01/FBFINAL-900x395.jpg
Theatre & Performing Arts,Black Bear Island by Karissa Murrell Myers,"Hello,   We would like to add our listing to Theatre In Chicago:     “BLACK BEAR ISLAND” BY KARISSA MURRELL MYERS Co-produced in partnership with Silk…","Thursday, April 25th",7:30 p.m.,,9:00 p.m.,Stage Center Theatre at Northeastern Illinois University,3701 W Bryn Mawr Ave,https://cdn.choosechicago.com/uploads/2024/04/Black-Bear-Island-darker-no-spots-555x800.jpg
Theatre & Performing Arts,LOVE SONG by John Kolvenbach from Remy Bumppo Theatre Company,"CHICAGO – Remy Bumppo Theatre Company is pleased to announce the cast, creative and production teams for Love Song, written by John Kolvenbach and directed…","Thursday, April 25th",7:30 p.m.,,9:00 p.m.,Theater Wit,"1229 W. Belmont Ave. , Chicago, IL, 60657",https://cdn.choosechicago.com/uploads/2024/01/RemyBumppo_LoveSong_HeadshotBlock-800x800.png
Theatre & Performing Arts,Chicago Shakespeare Theater: Judgment Day,"“Landing all the jokes… Moritz von Stuelpnagel tackles darkly funny materials with a shrewd balance of heightened reality, warped sitcom & underlying pathos” –Hollywood Reporter Emmy and Tony…","Thursday, April 25th",7:30 p.m.,,9:30 p.m.,Chicago Shakespeare Theatre,800 E Grand Ave,https://cdn.choosechicago.com/uploads/2024/03/Judgment-Day-900x252.jpg
"Music & Comedy, Theatre & Performing Arts",CSO x Jazz at Lincoln Center Orchestra with Wynton Marsalis,"Two mighty orchestras present a rousing, jazz-meets-classical event. Discover selections from Prokofiev’s Romeo and Juliet, alternating between the original orchestral version performed by the Chicago…","Thursday, April 25th",7:30 p.m.,,9:30 p.m.,Chicago Symphony Center,220 S Michigan Ave,https://cdn.choosechicago.com/uploads/2023/10/web_fy24_main_week24_jalco_1500x1125-900x497.jpeg
Theatre & Performing Arts,Fairview,"Dinner is served in the Frasier household…or at least, it is cooking. With the clock ticking towards Mama’s birthday party, Beverly frantically tries to corral…","Thursday, April 25th",7:30 p.m.,,9:30 p.m.,Newhart Family Theatre,1020 W. Sheridan Rd.,https://cdn.choosechicago.com/uploads/2024/01/fairview-900x504.jpeg
Theatre & Performing Arts,GDC: “Season 61 | UNLIMITED!” Spring Harris Theater Engagement,"Giordano Dance Chicago, America’s original jazz dance company, presents their spring engagement at the Harris Theater for Music and Dance, 205 E. Randolph St. at…","Thursday, April 25th",7:30 p.m.,,9:30 p.m.,The Harris Theater for Music and Dance,"205 E. Randolph, Chicago, IL, 60601",https://cdn.choosechicago.com/uploads/2024/03/Pictured-Fernando-Rodriguez-and-Sasha-Lazarus.-Photo-by-Todd-Rosenberg.--900x571.jpg
Theatre & Performing Arts,Joffrey Ballet: A Midsummer Night’s Dream,"Far from a Shakespearean tale, Ekman’s ‘Midsummer Night’s Dream’ is a mind-bending trip to a surreal realm of unearthly delights. Set during the traditional Scandinavian…","Thursday, April 25th",7:30 p.m.,,9:30 p.m.,Lyric Opera of Chicago,"20 N. Wacker Dr. , Chicago, IL, 60606",https://cdn.choosechicago.com/uploads/2024/03/Joffrey-Ballet-A-Midsummer-Nights-Dream-900x600.jpg
Theatre & Performing Arts,The Joffrey Ballet presents Midsummer Night’s Dream,The Joffrey Ballet boldly closes its 2023-24 season with the return of Midsummer Night’s Dream by internationally renowned Swedish choreographer Alexander Ekman. Premiered by The Joffrey Ballet to North American…,"Thursday, April 25th",7:30 p.m.,"Sunday, May 5th",2:00 p.m.,Lyric Opera of Chicago,"20 N. Wacker Dr. , Chicago, IL, 60606",https://cdn.choosechicago.com/uploads/2024/04/tRlPcvaw.jpg
Theatre & Performing Arts,In The Back/On The Floor,IN THE BACK/ON THE FLOOR examines the issues that minimum wage workers face through the lives of several employees at a big-box retail store. Though…,"Thursday, April 25th",8:00 p.m.,,,Chicago Dramatists,"1105 W. Chicago Ave. , Chicago, IL, 60642",https://cdn.choosechicago.com/uploads/2023/05/unnamed-36-518x800.jpeg
Theatre & Performing Arts,Nana,Trap Door Theatre’s 30th Anniversary Season closes with Olwen Wymark’s splendid dramatization of Zola’s Nana: a story of sexual and financial greed in nineteenth-century Parisian…,"Thursday, April 25th",8:00 p.m.,,9:45 p.m.,Trap Door Theatre,"1655 W. Cortland, Chicago, IL, 60622",https://cdn.choosechicago.com/uploads/2024/03/Nana-Poster-530x800.jpg
Music & Comedy,Zaid Fouzi and Friends,Join us for some laughs off the Magnificent Mile featuring Zaid Fouzi!,"Thursday, April 25th",8:00 p.m.,,10:00 p.m.,The Comedy Bar,500 N. LaSalle St.,https://cdn.choosechicago.com/uploads/2024/01/zaid-.jpeg
Music & Comedy,Nicki Minaj – Pink Friday 2 World Tour,"The one and only Queen of Hip-Hop Nicki Minaj is bringing her Pink Friday 2 World Tour to Chicago at the United Center, for two…","Thursday, April 25th",8:00 p.m.,,11:00 p.m.,United Center,1901 W Madison St.,https://cdn.choosechicago.com/uploads/2024/02/Nicki-Minaj-Pink-Friday-2-Tour-900x506.jpg
Music & Comedy,Payton Smith “Up From Here” Tour,"Payton Smith, is coming through Chicago on April 25th  for a show at Carol’s Pub. featuring special guests Dipper. At just 24 years old, Louisiana native singer-songwriter and…","Thursday, April 25th",8:00 p.m.,,11:00 p.m.,Carol’s Pub,4659 North Clark Street,https://cdn.choosechicago.com/uploads/2024/04/PS_UpFromHere_Final-800x800.jpg
Theatre & Performing Arts,Babes With Blades Theatre Company’s The S Paradox,"CHICAGO – Babes With Blades Theatre Company’s (BWBTC) 2024 season opens with The S Paradox, written by Joining Sword & Pen International Playwright Competition and…","Friday, April 26th",,,,The Factory Theater,"1623 W. Howard St. , Chicago, IL, 60626",https://cdn.choosechicago.com/uploads/2024/03/S-Paradox-Thumbnail-800x800.jpg
Theatre & Performing Arts,Comedy Hour at Annoyance Theatre,"Each week, Chicago comics bring the freshest, most experimental new material to the Annoyance for the Comedy Hour. The weekly show is an eclectic mix…","Friday, April 26th",12:00 a.m.,"Saturday, April 27th",1:00 a.m.,Annoyance Theatre & Bar,"851 W. Belmont Ave., 2nd Fl.",https://cdn.choosechicago.com/uploads/2019/08/placehoder-900x425.jpg
"Festivals, Fairs & Special Events",C2E2,"C2E2 is a pop culture convention for comics, film/tv, cosplay, gaming, wrestling, anime and more in the heart of Downtown Chicago at McCormick Place! A-List…","Friday, April 26th",,"Sunday, April 28th",,McCormick Place,2301 S. Lake Shore Dr.,https://cdn.choosechicago.com/uploads/2023/12/C2E22019_0323_082430-8070_SHEAFLYNN-900x600.jpg
"Festivals, Fairs & Special Events",Chicago Comic and Entertainment Expo – C2E2,"ReedPop, the world’s leading producer of pop culture events, is returning to McCormick Place for Chicago Comic & Entertainment Expo (C2E2) on April 26-28, 2024…","Friday, April 26th",,"Sunday, April 28th",,McCormick Place,2301 S. Lake Shore Dr.,https://cdn.choosechicago.com/uploads/2019/08/placehoder-900x425.jpg
Theatre & Performing Arts,Chicago Danztheatre Ensemble presents the world premiere of “Meditations On Being”,"CHICAGO – Chicago Danztheatre Ensemble (CDE) begins its 22nd season with “Meditations On Being,” March 1 – 9 in the Auditorium at Ebenezer Lutheran Church,…","Friday, April 26th",8:00 a.m.,,5:00 p.m.,"1650 W Foster Ave, Chicago, IL 60640",1650 W Foster Ave,https://cdn.choosechicago.com/uploads/2024/01/unnamed-832x800.jpg
"Museums, Galleries & Exhibitions",Nina Irwin | Thank You Notes,"EXHIBITION DATES: February 24 – March 31, 2024 OPENING RECEPTION: February 25, 2024, 1–4 pm, with an Artist Talk at 2 pm GALLERY HOURS: Monday–Thursday,…","Friday, April 26th",9:00 a.m.,,4:00 p.m.,Evanston Art Center,1717 Central Street,https://cdn.choosechicago.com/uploads/2024/01/NIrwin_webgraphic-900x507.jpg
"Museums, Galleries & Exhibitions",Wild World: Miracles in Conservation,"Now open! Get up close to geckos, ferrets, chinchillas, poison dart frogs, and more in Wild World: Miracles in Conservation! Visitors of all ages will…","Friday, April 26th",10:00 a.m.,,4:00 p.m.,Peggy Notebaert Nature Museum,2430 N. Cannon Dr.,https://cdn.choosechicago.com/uploads/2024/03/IMG_7476-900x600.jpg
Tours & Attractions,BRICK-Tastic Spring Break at LEGOLAND Discovery Center Chicago,"Spring Break memories will last a lifetime at the ultimate indoor LEGO® playground! Jump into a world of creativity, color and playful learning at LEGOLAND…","Friday, April 26th",10:00 a.m.,,5:00 p.m.,LEGOLAND Discovery Center Chicago,601 N. Martingale Road,https://cdn.choosechicago.com/uploads/2024/03/fkopjrLPskyfzB6jHg_roA.large_.jpg
"Museums, Galleries & Exhibitions",Dark Testament: A Century of Black Writers on Justice,"This immersive exhibit, extended through May 6, 2024, explores racial injustice in America through the work of Black American writers from the end of the…","Friday, April 26th",10:00 a.m.,,5:00 p.m.,American Writers Museum,180 N. Michigan Ave.,https://cdn.choosechicago.com/uploads/2023/10/GetLitSD038_PhotoCreditNikkiGeslani-1_Resized-900x601.jpg
"Festivals, Fairs & Special Events",Play Unstoppable Festival,It’s time for a day of Unstoppable LEGO® Play! Join us as our LEGOLAND® Discovery Center gets taken over by the Play Unstoppable Festival. Be part of…,"Friday, April 26th",10:00 a.m.,,5:00 p.m.,LEGOLAND Discovery Center Chicago,601 N. Martingale Road,https://cdn.choosechicago.com/uploads/2024/03/MV0XWyO9QUOV-WeQWkwR6Q.large_.jpg
"Museums, Galleries & Exhibitions",Spring Flower Show: What’s In A Name?,"This year’s Spring Flower Show, What’s in a Name?, explains the history and science of botanical nomenclature alongside a beautiful flower show full of blooms.  Plant names are an…","Friday, April 26th",10:00 a.m.,,5:00 p.m.,Garfield Park Conservatory,300 N. Central Park Ave.,https://cdn.choosechicago.com/uploads/2024/02/garfield-park.jpeg
"Museums, Galleries & Exhibitions",“Moscoso Cosmos: The Visual Universe of Victor Moscoso”,"Instituto Cervantes of Chicago (31 W. Ohio St.), the city’s leading not-for-profit center for Spanish language and cultural exchange, today hosts “Moscoso Cosmos: The Visual…","Friday, April 26th",10:00 a.m.,,6:00 p.m.,Instituto Cervantes,"31 W. Ohio St. , Chicago, IL, 60654",https://cdn.choosechicago.com/uploads/2024/03/08_head_hunters-horizontal-b-900x587.jpg
"Museums, Galleries & Exhibitions",Titanic: The Exhibition,"⭐ Titanic: The Exhibition is making its way to Westfield Old Orchard in Chicago after a sold-out run in Macau, Moscow, Riga Latvia, Perth, Sydney, and LA.…","Friday, April 26th",10:00 a.m.,,6:00 p.m.,Westfield Old Orchard (West Lot),4999 Old Orchard Shopping Center,https://cdn.choosechicago.com/uploads/2024/02/1-10.png
"Museums, Galleries & Exhibitions",: “Unearth” at the Cleve Carney Museum of Art,"“Unearth” is on display now through March 10 at the Cleve Carney Museum of Art, featuring three Chicago-based painters who find beauty and meaning in…","Friday, April 26th",11:00 a.m.,,5:00 p.m.,Cleve Carney Museum of Art,425 W Fawell Blvd.,https://cdn.choosechicago.com/uploads/2024/02/Screen-Shot-2024-02-06-at-10.55.57-AM.png
"Museums, Galleries & Exhibitions, Theatre & Performing Arts",New Monuments | Chicago Brendan Fernandes,"Envisioned as the first in a series of interventions that engage monuments in and outside of the United States, New Monuments | Chicago by Brendan Fernandes seeks…","Friday, April 26th",11:00 a.m.,,5:00 p.m.,Grant Park,Chicago,https://cdn.choosechicago.com/uploads/2024/03/General-John-Alexander-Logan-Monument-Grant-Park-Chicago-IL.-Courtesy-the-artist-and-Black-Cube-Nomadic-Art-Museum-600x800.jpg
"Museums, Galleries & Exhibitions",Spring Artist Residency at Pendry Chicago – Jenny Vyas,"Jenny explores her relationship with human frailty in her paintings, which often feature semi abstracts of human silhouettes and fluctuating forms in half-light. Meet and…","Friday, April 26th",11:00 a.m.,,6:00 p.m.,Pendry Chicago,230 N Michigan Ave,https://cdn.choosechicago.com/uploads/2024/03/Lethe-5x7HR-571x800.jpg
Theatre & Performing Arts,Working – A Musical,"Based on Studs Terkel’s best-selling book of interviews with American workers, Working paints a vivid portrait of the workers that the world so often takes…","Friday, April 26th",3:00 p.m.,,5:00 p.m.,Jedlicka Performing Arts Center,"3801 S. Central Ave. , Cicero, IL, 60804",https://cdn.choosechicago.com/uploads/2023/04/Working-A-Musical.jpg
Theatre & Performing Arts,Swiftie Dance Party,"Live Bash + Pie are coming together to celebrate Taylor Swift’s newest era with the release of her eleventh studio album, “The Tortured Poets Department.”…","Friday, April 26th",4:00 p.m.,,7:00 p.m.,Live Bash,"1801 West Berteau Avenue, #Suite 1",https://cdn.choosechicago.com/uploads/2024/04/23453501800-900x400.jpg
"Festivals, Fairs & Special Events",Enjoy Outdoor Dining at Komo,"A Japanese fine dining destination on West Loop’s Restaurant Row, located at 738 W Randolph St., Chicagoans are invited to take their taste buds on…","Friday, April 26th",5:00 p.m.,,,Komo,738 W Randolph Street,https://cdn.choosechicago.com/uploads/2024/04/Screenshot-2024-04-23-114518.png
"Museums, Galleries & Exhibitions","“DISARM, Everyday Violence, Every Day” Exhibition at Weinberg/Newton Gallery","After nine years of serving the Chicago community as a non-commercial gallery dedicated to promoting social justice causes through art and programming, Weinberg/Newton Gallery is…","Friday, April 26th",5:00 p.m.,,7:00 p.m.,Weinberg/Newton Gallery,688 N. Milwaukee Avenue,https://cdn.choosechicago.com/uploads/2023/06/Carlos-Javier-Ortiz-We-All-We-Got-2009-2023-vinyl-window-installation-900x602.png
"Museums, Galleries & Exhibitions",Sinag – Ray Of Light,"Evanston Art Center 2024 Exhibition: Sinag – Ray Of Light   EXHIBITION DATES: April 26 – May 25, 2024 OPENING RECEPTION: April 26, 2024, 5-8…","Friday, April 26th",5:00 p.m.,"Saturday, May 25th",8:00 p.m.,Evanston Art Center,1717 Central Street,https://cdn.choosechicago.com/uploads/2024/03/Sinag_webheader-900x446.jpg
"Festivals, Fairs & Special Events",Poetry Making Playground,"Kuumba Lynx is proud to bring a Poetry Making Playground at 601 s California, on April 1st – 30th 2024, with an option to extend…","Friday, April 26th",5:00 p.m.,"Saturday, June 22nd",8:00 p.m.,601 s California,601 S California Ave,https://cdn.choosechicago.com/uploads/2024/02/1-1-800x800.jpg
"Festivals, Fairs & Special Events, Museums, Galleries & Exhibitions, Tours & Attractions",Chicago Fashion Week powered by FashionBar LLC: Modern & Ready2Wear,"CHICAGO – FashionBar is pleased to announce Chicago Fashion Week powered by FashionBar, scheduled from April 21st to April 28th 2024. The event kicks off…","Friday, April 26th",5:30 p.m.,,8:30 p.m.,Water Tower Place,821 N. Michigan Ave.,https://cdn.choosechicago.com/uploads/2024/01/8-900x452.png
"Museums, Galleries & Exhibitions",This Can’t Be It: Opening Reception,This Can’t Be It features the work of Loyola seniors studying art and visual communication design. The work shown represents the culmination of each student’s experiences…,"Friday, April 26th",6:00 p.m.,,8:00 p.m.,Loyola Museum of Art (LUMA),820 N Michigan Avenue,https://cdn.choosechicago.com/uploads/2024/04/FineArts_Thumbnails_22024470203470769.png
"Music & Comedy, Theatre & Performing Arts",Teatro Zinzanni,"Tickets are on sale Now at https://zinzanni.com/chicago/ for Love, Chaos, & Dinner ! Teatro Zinzanni returns to the vibrant Chicago Loop inside the velvet walls…","Friday, April 26th",6:00 p.m.,,10:00 p.m.,Spiegeltent – Cambria Hotel,32 W. Randolph,https://cdn.choosechicago.com/uploads/2024/02/ChicagoPlaysFacebookKeyArt-900x473.jpg
Sports & Recreation,Chicago White Sox vs. Tampa Bay Rays,Come cheer on the Sox!,"Friday, April 26th",6:40 p.m.,,9:00 p.m.,Guaranteed Rate Field,333 W 35th St,https://cdn.choosechicago.com/uploads/2024/04/Chicago-White-Sox1-1-900x506.png
"Music & Comedy, Theatre & Performing Arts",The Infinite Wrench,Don’t miss the longest running late-night show in Chicago! At The Infinite Wrench you’ll see 30 original plays in 60 minutes written and performed by…,"Friday, April 26th",7:00 p.m.,,8:00 p.m.,The Neo-Futurist Theater,5153 N. Ashland Ave.,https://cdn.choosechicago.com/uploads/2023/04/TIW_promo-900x400.png
"Music & Comedy, Theatre & Performing Arts",Spring Chamber Ensemble Recital,The Chamber Ensemble Recital features a variety of small ensembles performing instrumental chamber works.,"Friday, April 26th",7:00 p.m.,,8:30 p.m.,Mundelein Center For The Fine & Performing Arts,1020 W Sheridan Rd,https://cdn.choosechicago.com/uploads/2024/04/ChamberEnsemble_FB-900x473.jpg
Music & Comedy,Mike Birbiglia – Please Stop the Ride Tour,"Comedian Mike Birbiglia will perform live at The Chicago Theatre on Apr. 26-27, 2024.","Friday, April 26th",7:00 p.m.,,9:00 p.m.,The Chicago Theatre,175 N. State,https://cdn.choosechicago.com/uploads/2024/03/Mike-Birbiglia-Please-Stop-the-Ride-Tour-900x400.jpg
Theatre & Performing Arts,"PUFFS, or, Seven Increasingly Eventful Years at a Certain School of Magic and Magic","Otherworld Theatre Company, the premier sci-fi and fantasy theatre company in North America, stages Matt Cox’s PUFFS, or, Seven Increasingly Eventful Years at a Certain…","Friday, April 26th",7:00 p.m.,,9:00 p.m.,Otherworld Theatre,3914 N. Clark St.,https://cdn.choosechicago.com/uploads/2023/05/Puffs-the-Play-Poster-2-900x582.png
Theatre & Performing Arts,The Murder Mystery Company Presents: “Best Laid Plans”,"Prepare to unravel the secrets of a thrilling murder mystery, where every twist and turn leads you closer to uncovering the truth. Put your sleuthing…","Friday, April 26th",7:00 p.m.,,9:30 p.m.,Jenny’s Steak and Banquets,11041 Menard Avenue,https://cdn.choosechicago.com/uploads/2024/04/BLP__FacebookEvent_1920x1080-900x506.png
Theatre & Performing Arts,The Roar Speakeasy: A Prohibition Era Experience,Go back in time to Chicago’s Prohibition Era at The Roar on Rush! A lively Speakeasy that lights the way to a hidden 4-room cocktail…,"Friday, April 26th",7:00 p.m.,,10:00 p.m.,The Roar on Rush,437 N. Rush Street,https://cdn.choosechicago.com/uploads/2022/11/speak-easy-1-50-900x720.jpg
"Museums, Galleries & Exhibitions","Laura Ortman, Smoke Rings Shimmers Endless Blur","About the Performance Renowned composer and multi-instrumentalist Laura Ortman performs two evenings of live, solo, multimedia concerts. Informed by her practice as a sculptor and…","Friday, April 26th",7:30 p.m.,,8:30 p.m.,Museum of Contemporary Art,220 E. Chicago Ave.,https://cdn.choosechicago.com/uploads/2024/03/Laura-Ortman_Still-image-from-My-Soul-Remainer-video-by-Nanobah-Becker-900x506.jpg
,Take Two: The Improvised Movie at Second City,"Take Two is a longform, narrative show consisting of TWO never-before-seen, made-up-on-the-spot movies! Give us a song, we’ll give you a movie! Based on a…","Friday, April 26th",7:30 p.m.,,8:30 p.m.,The Second City,"1616 N. Wells St. , Chicago, IL, 60614",https://cdn.choosechicago.com/uploads/2024/01/TakeTwo-ImprovisedMovie_Facebook-Cover-1920x1080-1-900x506.png
Theatre & Performing Arts,BIG LOVE,"[producingbody]’s second show – BIG LOVE by Charles Mee a play – 90 minutes, no intermission. Fifty brides flee their fifty grooms and seek refuge…","Friday, April 26th",7:30 p.m.,,9:00 p.m.,Chicago Dramatists,"1105 W. Chicago Ave. , Chicago, IL, 60642",https://cdn.choosechicago.com/uploads/2024/01/FBFINAL-900x395.jpg
Theatre & Performing Arts,Black Bear Island by Karissa Murrell Myers,"Hello,   We would like to add our listing to Theatre In Chicago:     “BLACK BEAR ISLAND” BY KARISSA MURRELL MYERS Co-produced in partnership with Silk…","Friday, April 26th",7:30 p.m.,,9:00 p.m.,Stage Center Theatre at Northeastern Illinois University,3701 W Bryn Mawr Ave,https://cdn.choosechicago.com/uploads/2024/04/Black-Bear-Island-darker-no-spots-555x800.jpg
Music & Comedy,International Pop Overthrow,7:30PM: Dolph Chaney and The Phins 8:15PM: Custard Flux Acclaimed Chicago recording artist Dolph Chaney’s 2023 album MUG (released via Big Stir Records) received rave…,"Friday, April 26th",7:30 p.m.,,9:00 p.m.,montrose saloon,2933 West Montrose,https://cdn.choosechicago.com/uploads/2024/04/Dolph__The_Phins-22-900x600.jpg
"Music & Comedy, Theatre & Performing Arts",Isidore Quartet,"Winners of a 2023 Avery Fisher Career Grant and the 14th Banff International String Quartet Competition in 2022, Isidore Quartet is a dynamic group founded…","Friday, April 26th",7:30 p.m.,,9:00 p.m.,"Mandel Hall, University of Chicago",1131 East 57th Street,https://cdn.choosechicago.com/uploads/2024/03/ISQ_1844_sq_Jiyang-Chen-860x800.jpg
"Festivals, Fairs & Special Events, Music & Comedy, Theatre & Performing Arts",Isidore Quartet,"With the 2023 Avery Fisher Career Grant and the 14th Banff International String Quartet Competition victories to their name, Isidore Quartet, hailing from the esteemed…","Friday, April 26th",7:30 p.m.,,9:00 p.m.,"Mandel Hall, University of Chicago",1131 East 57th Street,https://cdn.choosechicago.com/uploads/2024/02/Isidore-Quartet-Choose-Chicago-Image-900x400.png
Theatre & Performing Arts,"Jackalope Theatre Company’s 16th Season Begins the the Smuggler, at its new home in Berger Park","CHICAGO – Jackalope Theatre Company is proud to launch its 16th season at its new home in Edgewater’s Berger Park, 6205 N. Sheridan Rd., with…","Friday, April 26th",7:30 p.m.,,9:00 p.m.,Edgewater’s Berger Park,6205 N. Sheridan Rd.,https://cdn.choosechicago.com/uploads/2024/01/Smuggler-NoLogo-Wide-900x506.png
Theatre & Performing Arts,LOVE SONG by John Kolvenbach from Remy Bumppo Theatre Company,"CHICAGO – Remy Bumppo Theatre Company is pleased to announce the cast, creative and production teams for Love Song, written by John Kolvenbach and directed…","Friday, April 26th",7:30 p.m.,,9:00 p.m.,Theater Wit,"1229 W. Belmont Ave. , Chicago, IL, 60657",https://cdn.choosechicago.com/uploads/2024/01/RemyBumppo_LoveSong_HeadshotBlock-800x800.png
Theatre & Performing Arts,Sapphic Showcase,A series of 10-minute plays interspersed with standup and spoken word performers.,"Friday, April 26th",7:30 p.m.,,9:00 p.m.,Pride Arts Center,"4139 N. Broadway, Chicago, IL, 60613",https://cdn.choosechicago.com/uploads/2024/04/Sapphic-Showcase-image.png
Theatre & Performing Arts,Chicago Shakespeare Theater: Judgment Day,"“Landing all the jokes… Moritz von Stuelpnagel tackles darkly funny materials with a shrewd balance of heightened reality, warped sitcom & underlying pathos” –Hollywood Reporter Emmy and Tony…","Friday, April 26th",7:30 p.m.,,9:30 p.m.,Chicago Shakespeare Theatre,800 E Grand Ave,https://cdn.choosechicago.com/uploads/2024/03/Judgment-Day-900x252.jpg
"Music & Comedy, Theatre & Performing Arts",CSO x Jazz at Lincoln Center Orchestra with Wynton Marsalis,"Two mighty orchestras present a rousing, jazz-meets-classical event. Discover selections from Prokofiev’s Romeo and Juliet, alternating between the original orchestral version performed by the Chicago…","Friday, April 26th",7:30 p.m.,,9:30 p.m.,Chicago Symphony Center,220 S Michigan Ave,https://cdn.choosechicago.com/uploads/2023/10/web_fy24_main_week24_jalco_1500x1125-900x497.jpeg
Theatre & Performing Arts,Fairview,"Dinner is served in the Frasier household…or at least, it is cooking. With the clock ticking towards Mama’s birthday party, Beverly frantically tries to corral…","Friday, April 26th",7:30 p.m.,,9:30 p.m.,Newhart Family Theatre,1020 W. Sheridan Rd.,https://cdn.choosechicago.com/uploads/2024/01/fairview-900x504.jpeg
Theatre & Performing Arts,GDC: “Season 61 | UNLIMITED!” Spring Harris Theater Engagement,"Giordano Dance Chicago, America’s original jazz dance company, presents their spring engagement at the Harris Theater for Music and Dance, 205 E. Randolph St. at…","Friday, April 26th",7:30 p.m.,,9:30 p.m.,The Harris Theater for Music and Dance,"205 E. Randolph, Chicago, IL, 60601",https://cdn.choosechicago.com/uploads/2024/03/Pictured-Fernando-Rodriguez-and-Sasha-Lazarus.-Photo-by-Todd-Rosenberg.--900x571.jpg
Theatre & Performing Arts,How I Learned What I Learned,Broadway In Chicago is excited to join Congo Square Theatre Company in announcing its continued 25th Anniversary celebration with the Chicago premiere of HOW I LEARNED…,"Friday, April 26th",7:30 p.m.,,9:30 p.m.,Broadway Playhouse at Water Tower Place,175 E. Chestnut St,https://cdn.choosechicago.com/uploads/2024/04/HILWIL-IG-Dates-1080x1080-HL-700x700-1.jpg
Theatre & Performing Arts,Joffrey Ballet: A Midsummer Night’s Dream,"Far from a Shakespearean tale, Ekman’s ‘Midsummer Night’s Dream’ is a mind-bending trip to a surreal realm of unearthly delights. Set during the traditional Scandinavian…","Friday, April 26th",7:30 p.m.,,9:30 p.m.,Lyric Opera of Chicago,"20 N. Wacker Dr. , Chicago, IL, 60606",https://cdn.choosechicago.com/uploads/2024/03/Joffrey-Ballet-A-Midsummer-Nights-Dream-900x600.jpg
Theatre & Performing Arts,The Rooster Play,A comic discussion of identity and sexuality. John has been in a stable relationship with his boyfriend for a number of years. But when he…,"Friday, April 26th",7:30 p.m.,,10:00 p.m.,Open Space Arts,"1411 W. Wilson Ave, Chicago, IL, 60640",https://cdn.choosechicago.com/uploads/2024/03/faceclose-900x645.jpg
Theatre & Performing Arts,Two Hours in a Bar,A double bill of one-acts. WAITING FOR TINA MEYER concerns a pair of best-friend actors–a man and a woman–sitting in a bar because the man is expecting…,"Friday, April 26th",7:30 p.m.,,10:00 p.m.,City Lit Theater,"1020 W. Bryn Mawr, Chicago, IL, 60660",https://cdn.choosechicago.com/uploads/2024/02/CityLit_43_TwoHoursInABar_squaresocial-800x800.jpg
Theatre & Performing Arts,In The Back/On The Floor,IN THE BACK/ON THE FLOOR examines the issues that minimum wage workers face through the lives of several employees at a big-box retail store. Though…,"Friday, April 26th",8:00 p.m.,,,Chicago Dramatists,"1105 W. Chicago Ave. , Chicago, IL, 60642",https://cdn.choosechicago.com/uploads/2023/05/unnamed-36-518x800.jpeg
Theatre & Performing Arts,"Curious Theatre Branch announces with a world premiere from Jenny Magnus, The Good","CHICAGO – Curious Theatre Branch, continues its 35th anniversary season with a world premiere from Founding Co-Artistic Director Jenny Magnus, The Good, March 29 –…","Friday, April 26th",8:00 p.m.,,9:00 p.m.,Chicago Dramatists,"1105 W. Chicago Ave. , Chicago, IL, 60642",https://cdn.choosechicago.com/uploads/2024/01/CuriousTheatreBranch_TheGood_PromoImageWithCopy-600x800.jpeg
Theatre & Performing Arts,Devil’s Daughter,The hottest show in town Devil’s Daughter features a cast of seasoned comedians who have performed together in Chicago and around the country for 8+ years. This…,"Friday, April 26th",8:00 p.m.,,9:30 p.m.,iO Theater,1501 N. Kingsbury St.,https://cdn.choosechicago.com/uploads/2024/04/Devils-Daughter-900x695.jpg
