title,personas,category_x,description,text_cleaned_lemmatized,image_url
fireworks dinner cruise,couple,dinner cruises,"Summer in Chicago means it’s time for the free Navy Pier fireworks series. These breathtaking displays happen every Wednesday and Saturday evening throughout the summer, and there’s no better place to enjoy them than on a .",summer in chicago means it s time for the free navy pier fireworks series these breathtaking displays happen every wednesday and saturday evening throughout the summer and there s no better place to enjoy them than on a ,https://cdn.choosechicago.com/uploads/2021/06/43d322b9-1571-44d9-8c2b-0f04ff0caa7d-1-900x630.jpeg
FlyHeli Tours,couple,romantic weekend,"For an unforgettable date night experience, schedule a private helicopter tour with . These breathtaking tours include unbelievable views of the lake, skyline, and the city’s most iconic landmarks. Schedule a private tour at sunset for a romantic atmosphere.",for an unforgettable date night experience schedule a private helicopter tour with these breathtaking tours include unbelievable views of the lake skyline and the city s most iconic landmarks schedule a private tour at sunset for a romantic atmosphere ,
Fourth of July in Chicago,couple,dinner cruises,"The  is also a great time to catch a spectacular fireworks show on the water. You’ll find plenty of dinner cruise options that offer unobstructed views of the holiday fireworks, both on the Chicago River and Lake Michigan.",the is also a great time to catch a spectacular fireworks show on the water you ll find plenty of dinner cruise options that offer unobstructed views of the holiday fireworks both on the chicago river and lake michigan ,
Francois Frankie,couple,romantic restaurants,"It’s guaranteed to be an unforgettable date night when you’re seated at the rotating carousel bar inside . This American brasserie is adorned with lush jewel tones, original murals, and twinkling string lights that create a sophisticated atmosphere. Enjoy the menu of refined dishes like freshly shucked oysters, steak frites, and croque monsieur egg rolls.",it s guaranteed to be an unforgettable date night when you re seated at the rotating carousel bar inside this american brasserie is adorned with lush jewel tones original murals and twinkling string lights that create a sophisticated atmosphere enjoy the menu of refined dishes like freshly shucked oysters steak frites and croque monsieur egg rolls ,
Garfield Park Conservatory,couple,indoor gardens,"Opened in 1908,  is one of the largest conservatories in the nation, occupying two acres of public greenhouse space and 10 acres of outdoor gardens on a beautiful site designed by William LeBaron Jenney. The conservatory is known as “landscape art under glass,” and one visit to environments like the Palm House, Fern Room, Desert House, and Aroid House will tell you why. You’ll also find waterfalls, koi ponds, turtles, and birds as you wander the conservatory’s lush expanses. , 300 N. Central Park Ave. free admission.",opened in  is one of the largest conservatories in the nation occupying two acres of public greenhouse space and  acres of outdoor gardens on a beautiful site designed by william lebaron jenney the conservatory is known as “landscape art under glass and one visit to environments like the palm house fern room desert house and aroid house will tell you why you ll also find waterfalls koi ponds turtles and birds as you wander the conservatory s lush expanses  n central park ave free admission ,https://cdn.choosechicago.com/uploads/2019/06/AA_EPIC_GarfieldParkCons_18-900x600.jpg
Geja’s Cafe,couple,romantic restaurants,"Known as one of the city’s most romantic restaurants,  has been serving couples for more than 50 years. The interior feels like a cozy wine cellar, with cozy curtained booths, candlelit tables, and a live guitarist. Everything is cooked in a sizzling fondue pot right at your table, from the creamy Swiss gruyère cheese appetizer to the velvety Belgian chocolate dessert. It’s the perfect spot for a first date, special occasion, or even a proposal (Geja’s has seen thousands of engagements over the years).

Have dinner at Blue Door Kitchen & Garden, a seasonally focused spot with a vintage vibe and a gorgeous hidden-garden patio. Or head to , a Chicago spot known for romance. Enjoy Swiss gruyere fondue and sizzling meats for dinner, following by chocolate for dessert.","known as one of the city s most romantic restaurants has been serving couples for more than  years the interior feels like a cozy wine cellar with cozy curtained booths candlelit tables and a live guitarist everything is cooked in a sizzling fondue pot right at your table from the creamy swiss gruyère cheese appetizer to the velvety belgian chocolate dessert it s the perfect spot for a first date special occasion or even a proposal geja s has seen thousands of engagements over the years 

have dinner at blue door kitchen garden a seasonally focused spot with a vintage vibe and a gorgeous hidden garden patio or head to a chicago spot known for romance enjoy swiss gruyere fondue and sizzling meats for dinner following by chocolate for dessert ",https://cdn.choosechicago.com/uploads/2019/06/AA_Gejas_44-900x600.jpg
Gibsons Italia,couple,outdoor dining,"is an upscale spot situated on a scenic stretch of the Chicago River. The casually elegant spot serves Italian fare with an emphasis on pasta, seafood, and — most of all — steak. Choose from prime Angus, grass-fed Australian, Japanese, and Wagyu cuts while watching boats drift down the water and soaking in the skyline views.",s an upscale spot situated on a scenic stretch of the chicago river the casually elegant spot serves italian fare with an emphasis on pasta seafood and — most of all — steak choose from prime angus grass fed australian japanese and wagyu cuts while watching boats drift down the water and soaking in the skyline views ,https://cdn.choosechicago.com/uploads/2019/05/Gibsons_Italia_9f2931ea-d953-402a-b8e6-c65237523f05-900x544.jpg
Gilt Bar’s,couple,romantic restaurants,"This hip hideaway is a romantic spot to take your date, with red velvet booths, soft candlelight, and a dramatic bar backed with gilded mirrors.  contemporary American dishes are made for sharing, including the house-made pasta, seafood, and wood-fired entrees. The drink menu is cocktail driven, with an emphasis on classic favorites. If there’s a wait, head downstairs to The Library, a hidden drinking den that’s even more intimate than the dining space.",this hip hideaway is a romantic spot to take your date with red velvet booths soft candlelight and a dramatic bar backed with gilded mirrors contemporary american dishes are made for sharing including the house made pasta seafood and wood fired entrees the drink menu is cocktail driven with an emphasis on classic favorites if there s a wait head downstairs to the library a hidden drinking den that s even more intimate than the dining space ,https://cdn.choosechicago.com/uploads/2019/06/Gilt_Bar_IMG_0690_3c534c6e-988b-46f2-a960-ebb3c8be78e3-1.jpg
Girl & the Goat,couple,romantic weekend,"Head to the trendy West Loop, where you’ll find some of the city’s hottest restaurants. The elegant El Che Steakhouse & Bar is the perfect date night spot. The Argentinian-inspired space features traditional platters of rustic flame-finished grilled beef. Or check out , the flagship spot of celebrity chef Stephanie Izard, serving innovative small plates on bustling Restaurant Row.",head to the trendy west loop where you ll find some of the city s hottest restaurants the elegant el che steakhouse bar is the perfect date night spot the argentinian inspired space features traditional platters of rustic flame finished grilled beef or check out the flagship spot of celebrity chef stephanie izard serving innovative small plates on bustling restaurant row ,
Gold Coast,couple,date night ideas,"Embark on a romantic stroll or bike ride through Chicago’s , one of the country’s most affluent neighborhoods. Admire historic mansions and maybe pop into one of the areas swanky boutiques.",embark on a romantic stroll or bike ride through chicago s one of the country s most affluent neighborhoods admire historic mansions and maybe pop into one of the areas swanky boutiques ,
Grant Park Skate Park,family,,It’s not only skateboarders who love the skate park at Grant Park. You’ll see rollerbladers and BMX bike enthusiasts making the most of the park’s multi-skill-level concrete ramps and grinding rails — all with a lakefront view.,skateboarder love skate park grant park see rollerblader bmx bike enthusiast making park multi skill level concrete ramp grinding rail lakefront view,https://cdn.choosechicago.com/uploads/2019/06/AbA_maggie_daley_park-e1559592956702-900x599.jpg
Harold Washington Library’s,couple,indoor gardens,"Quiet contemplation reigns within  winter garden. There really is no better place to lose yourself in the pages of a good book. The garden’s glass-roofed atrium offers natural, filtered light year-round, ensuring leafy plants and trees thrive and blossom. While you’re there, take in the building’s exterior architecture, too — particularly the roof. Four 12-foot barn owls grace the roof’s corners, accompanied by 75-foot-wide and 40-foot-high swirls of leaves and seed pods, representing growth and wisdom. A 3-ton great horned owl, with 20-foot wingspan, sits above the main entrance on State Street. It clutches an open book, ready to take flight — in other words, always return your books! Winter Garden at Harold Washington Library, 400 S. State St., Loop, free admission.",quiet contemplation reigns within winter garden there really is no better place to lose yourself in the pages of a good book the garden s glass roofed atrium offers natural filtered light year round ensuring leafy plants and trees thrive and blossom while you re there take in the building s exterior architecture too — particularly the roof four  foot barn owls grace the roof s corners accompanied by  foot wide and  foot high swirls of leaves and seed pods representing growth and wisdom a  ton great horned owl with  foot wingspan sits above the main entrance on state street it clutches an open book ready to take flight — in other words always return your books winter garden at harold washington library  s state st loop free admission ,https://cdn.choosechicago.com/uploads/2019/06/hw-winter-garden-900x600.jpg
Harry Caray’s Tavern,couple,waterfronts and outdoor,"Located near the main entrance to iconic Navy Pier, outdoor waterfront patio at  is the perfect place to enjoy the incredible views of Lake Michigan.  combines outstanding smoked barbecue and great selection of local craft beer, so order some of both and dig in.

Hungry? Stop at the food court or sit-down restaurants like , Giordano’s (for deep-dish pizza), and Riva Crabhouse. You can also hit the water for a multi-course meal and cruise aboard Odyssey Lake Michigan, Mystic Blue, or the Spirit of Chicago. Or simply enjoy a feast for the eyes aboard a sightseeing cruise on a classic Shoreline Sightseeing vessel, Seadog Chicago speedboat, or historic Tall Ship Windy sailboat.","located near the main entrance to iconic navy pier outdoor waterfront patio at is the perfect place to enjoy the incredible views of lake michigan combines outstanding smoked barbecue and great selection of local craft beer so order some of both and dig in 

hungry stop at the food court or sit down restaurants like giordano s for deep dish pizza and riva crabhouse you can also hit the water for a multi course meal and cruise aboard odyssey lake michigan mystic blue or the spirit of chicago or simply enjoy a feast for the eyes aboard a sightseeing cruise on a classic shoreline sightseeing vessel seadog chicago speedboat or historic tall ship windy sailboat ",https://cdn.choosechicago.com/uploads/2019/06/NAVY-PIER-166-900x601.jpg
Hyde Park,couple,beaches,"Tucked in the  neighborhood, fewer crowds make 57th Street Beach an ideal spot for picnicking or building sandcastles. The beach is part of historic Jackson Park, one of the city’s oldest parks and the site of the 1893 World’s Fair in Chicago. The beach is the perfect stop after exploring the Museum of Science and Industry across the street.",tucked in the neighborhood fewer crowds make th street beach an ideal spot for picnicking or building sandcastles the beach is part of historic jackson park one of the city s oldest parks and the site of the  world s fair in chicago the beach is the perfect stop after exploring the museum of science and industry across the street ,
Indoor skydiving,family,,"It’s like skydiving, without the sky — or the dive. iFLY is the ultimate indoor body-lift experience, and you don’t need any prior experience to give it a whirl. This is a sure win for teen and tween visitors in particular.",like skydiving without sky dive ifly ultimate indoor body lift experience need prior experience give whirl sure win teen tween visitor particular,
Island Party Hut Tiki Bar and Grill,couple,riverwalk restaurants,"Come party at , tucked away on the east side of the Riverwalk. The tropical-themed bar and grill has multiple bars serving up frozen cocktails and island-inspired drinks that will transport you to the tropics. The menu includes plenty of favorites right off the grill, like slow-smoked pulled pork, a Big Kahuna Burger, and brats. They’re also fully stocked with group games, like ping pong, corn hole, jumbo Jenga, giant connect four, and more.",come party at tucked away on the east side of the riverwalk the tropical themed bar and grill has multiple bars serving up frozen cocktails and island inspired drinks that will transport you to the tropics the menu includes plenty of favorites right off the grill like slow smoked pulled pork a big kahuna burger and brats they re also fully stocked with group games like ping pong corn hole jumbo jenga giant connect four and more ,https://cdn.choosechicago.com/uploads/2019/05/chicago_riverwalk_boat_tours_343e6d03-fe04-41e5-b67c-bc7177a6545f-900x600.jpg
Ivy Hotel,couple,date night ideas,"Book an intimate apartment-style suite at , a boutique gem just off The Magnificent Mile. The 63 guest rooms come with cozy Michigan goose-down pillows and Frette bathrobes. You can get the romance going with breakfast in bed.",book an intimate apartment style suite at a boutique gem just off the magnificent mile the  guest rooms come with cozy michigan goose down pillows and frette bathrobes you can get the romance going with breakfast in bed ,https://cdn.choosechicago.com/uploads/2019/05/AA_Tilt_Hancock_16-900x576.jpg
Kayaking,family,,"Take the kids on a kayak tour of Chicago’s waterways from Monroe Harbor or the Chicago River. Sail along with Urban Kayaks and be guided through breathtaking city vistas. No experience is necessary, guided tours are provided.",take kid kayak tour chicago waterway monroe harbor chicago river sail along urban kayak guided breathtaking city vista experience necessary guided tour provided,
Kingston Mines,couple,romantic weekend,"Keep your date night going at , a legendary blues club that features live music every night of the week. You can see everyone from emerging talent to celebrated musicians hit the stage, and the dance floor keeps going till the early morning hours.",keep your date night going at a legendary blues club that features live music every night of the week you can see everyone from emerging talent to celebrated musicians hit the stage and the dance floor keeps going till the early morning hours ,
La Vaca Margarita Bar,couple,outdoor dining,: This spacious patio is a classic summer spot in Pilsen. Enjoy Mexican classics and flavored margaritas in the sunshine or late into the night., this spacious patio is a classic summer spot in pilsen enjoy mexican classics and flavored margaritas in the sunshine or late into the night ,
Lakefront Trail,couple,romantic weekend,"Wake up early and rent a Divvy Bike from the city’s bike share program to pedal down the , a paved path that borders Lake Michigan on one side and the soaring skyline on the other. Take leisurely stops to walk on the beach, explore a park, or check out the many museums and attractions all along the trail.",wake up early and rent a divvy bike from the city s bike share program to pedal down the a paved path that borders lake michigan on one side and the soaring skyline on the other take leisurely stops to walk on the beach explore a park or check out the many museums and attractions all along the trail ,https://cdn.choosechicago.com/uploads/2019/06/couples-biking-750x422.jpg
Le Sud,couple,outdoor dining,": In the heart of Roscoe Village,  serves seasonal Mediterranean fare and offers year-round outdoor dining thanks to a retractable roof.", in the heart of roscoe village serves seasonal mediterranean fare and offers year round outdoor dining thanks to a retractable roof ,
LEGOLAND Discovery Center,family,,"Take a day trip to , a giant indoor playground located in nearby suburban Schaumburg. Two rides, 10 LEGO build-and-play zones, and a 4D cinema are just a few of the great LEGO-themed experiences you’ll have here. Once back in the city, visit the colorful building-block wonderland that is The LEGO Store at Water Tower Place.",take day trip giant indoor playground located nearby suburban schaumburg two ride lego build play zone cinema great lego themed experience back city visit colorful building block wonderland lego store water tower place,
Lincoln Park Zoo,family,,"Free to the public, this is one of the nation’s oldest zoos. Kids love the old-school carousel, locomotive rides, and the Pritzker Family Children’s Zoo, a kid-friendly home for North American animals. Just next door is the Farm-in-the-Zoo, which gives kids the chance to pet goats, cows, and ponies, and experience a little country life in the city.",free public one nation oldest zoo kid love old school carousel locomotive ride pritzker family child zoo kid friendly home north american animal next door farm zoo give kid chance pet goat cow pony experience little country life city,https://cdn.choosechicago.com/uploads/2019/05/Brookfield-Zoo.jpg
Lirica,couple,outdoor dining,": Enjoy sweeping views of Lake Michigan and the city skyline on ’s waterfront patio, located on iconic Navy Pier.", enjoy sweeping views of lake michigan and the city skyline on s waterfront patio located on iconic navy pier ,
Longman & Eagle,couple,date night ideas,"Your resting place for the night? Bar-restaurant-inn . The six-room hideaway sits above the first-floor, whiskey-focused tavern and features eclectic furnishings and commissioned art.",your resting place for the night bar restaurant inn the six room hideaway sits above the first floor whiskey focused tavern and features eclectic furnishings and commissioned art ,
Loyola Beach,couple,beaches,"A little farther north, you’ll find a tranquil atmosphere at , named for the nearby Loyola University campus. The quieter atmosphere, ample green space, and a playground make it a family favorite. Nearby, the Glenwood Avenue Arts District in the Rogers Park neighborhood offers vibrant murals, music venues, theaters, art galleries, and a mix of shops and restaurants.",a little farther north you ll find a tranquil atmosphere at named for the nearby loyola university campus the quieter atmosphere ample green space and a playground make it a family favorite nearby the glenwood avenue arts district in the rogers park neighborhood offers vibrant murals music venues theaters art galleries and a mix of shops and restaurants ,
Lurie Garden,couple,MillenniumPark,"is an award-winning masterpiece of botanical landscaping. Throughout the year, and for every season, native perennials and bulbs give the garden great diversity, creating a haven for wildlife, birds, and insects. Located in the southeast corner of Millennium Park,  is a peaceful oasis in the middle of the bustling downtown.",s an award winning masterpiece of botanical landscaping throughout the year and for every season native perennials and bulbs give the garden great diversity creating a haven for wildlife birds and insects located in the southeast corner of millennium park is a peaceful oasis in the middle of the bustling downtown ,https://cdn.choosechicago.com/uploads/2019/07/AA_Summer_MilPark_FlowerGarden_09-e1564003801666-900x503.jpg
Maggie Daley Park ,all,,"is a magical place where you’ll find a Skating Ribbon, a 3-acre Play Garden created in the spirit of Alice in Wonderland and Charlie and the Chocolate Factory, a mini golf course that takes you through Chicago-themed obstacles (like a mini Willis Tower), and a climbing wall right on the lakefront.

Park your bikes at , where you’ll find more outdoor fun at the all-seasons Skating Ribbon. Hold hands at you ice skate along the icy path in the winter, or challenge for your date to a scooter race in the summer. Afterward, take a quick walk to Millennium Park and snap a picture together in front of Cloud Gate, aka “The Bean”, the ultimate Chicago photo opp.

The spectacular  is a kid’s fantasyland. The fun Play Garden is fashioned in the spirit of Alice in Wonderland and Charlie and the Chocolate Factory, with suspension bridges, tube slides, and a big ship to explore. Older kids flock to the 40-foot climbing wall and 18-hole mini golf course, putting through Chicago-themed obstacles.","magical place find skating ribbon acre play garden created spirit alice wonderland charlie chocolate factory mini golf course take chicago themed obstacle like mini willis tower climbing wall right lakefront

the spectacular is a kid s fantasyland the fun play garden is fashioned in the spirit of alice in wonderland and charlie and the chocolate factory with suspension bridges tube slides and a big ship to explore older kids flock to the  foot climbing wall and  hole mini golf course putting through chicago themed obstacles 

park your bikes at where you ll find more outdoor fun at the all seasons skating ribbon hold hands at you ice skate along the icy path in the winter or challenge for your date to a scooter race in the summer afterward take a quick walk to millennium park and snap a picture together in front of cloud gate aka “the bean the ultimate chicago photo opp ",https://cdn.choosechicago.com/uploads/2019/05/AA1_5360-900x599.jpg
Mama Delia,couple,romantic weekend,"For dinner, check out the sultry , where you’ll find Spanish tapas downstairs and a secret burlesque bar upstairs.",for dinner check out the sultry where you ll find spanish tapas downstairs and a secret burlesque bar upstairs ,
McCormick Tribune Plaza & Ice Rink,couple,MillenniumPark,"The  is a year-round attraction along Michigan Avenue. Over the summer, it’s a picturesque alfresco dining space featuring casual bites and cocktails. In winter, it’s a charming ice rink, with Cloud Gate and the city skyline as its backdrop. The rink is always free, skate rentals are available.",the is a year round attraction along michigan avenue over the summer it s a picturesque alfresco dining space featuring casual bites and cocktails in winter it s a charming ice rink with cloud gate and the city skyline as its backdrop the rink is always free skate rentals are available ,https://cdn.choosechicago.com/uploads/2020/01/AbA_IceSkatingMillenniumPark_36-900x600.jpg
Mesler,couple,outdoor dining,": In Hyde Park, ’s intimate patio features string lights and lounge-style seating outside The Sophy Hotel.", in hyde park s intimate patio features string lights and lounge style seating outside the sophy hotel ,
Millennium Park,family,,"In  each summer, kids splash around in Crown Fountain’s shallow pool and dash underneath the water spouting from the lips of video-projected Chicago locals. Springtime is perfect for a self-guided scavenger hunt through Lurie Garden. In winter, skate with the city skyline as your backdrop at the magical McCormick Tribune Ice Rink. And no matter the season, and make faces in the reflective surface of the stainless steel sculpture Cloud Gate, aka “The Bean.”",summer kid splash around crown fountain shallow pool dash underneath water spouting lip video projected chicago local springtime perfect self guided scavenger hunt lurie garden winter skate city skyline backdrop magical mccormick tribune ice rink matter season make face reflective surface stainless steel sculpture cloud gate aka “ bean,https://cdn.choosechicago.com/uploads/2019/05/ChooseChicago_Millenium-Park.jpg
MingHin Cuisine,couple,romantic weekend,"Enjoy a mid-day dim sum brunch at  in Chinatown. Take your pick from steaming bamboo trays of shrimp dumplings, honey-glazed short ribs, fried spring rolls, pork buns, and more — all perfect for sharing.",enjoy a mid day dim sum brunch at in chinatown take your pick from steaming bamboo trays of shrimp dumplings honey glazed short ribs fried spring rolls pork buns and more — all perfect for sharing ,https://cdn.choosechicago.com/uploads/2019/06/AA_Gejas_11-900x600.jpg
modern Japanese fare,couple,romantic restaurants,"This acclaimed spot in the West Loop specializes in . In the main dining room, you’ll find a stylish space and a menu that blends traditional flavors and contemporary techniques. Order an Imperial strip steak roasted over hot coals or expertly prepared slices of sashimi. After dinner, head downstairs to The Izakaya. This sultry, subterranean bar features hand-painted Japanese menus, moody neon lights, and a curated selection of cocktails, sakes, and Japanese whiskeys.",this acclaimed spot in the west loop specializes in in the main dining room you ll find a stylish space and a menu that blends traditional flavors and contemporary techniques order an imperial strip steak roasted over hot coals or expertly prepared slices of sashimi after dinner head downstairs to the izakaya this sultry subterranean bar features hand painted japanese menus moody neon lights and a curated selection of cocktails sakes and japanese whiskeys ,https://cdn.choosechicago.com/uploads/2019/06/IMG_6311-900x600.jpg
Montrose Beach,couple,beaches,"Dogs love  as much as people do.  offers one of the only official dog beaches in the city, with a fenced-off section on the northern end of beach where pups can swim and run free without a leash. It’s also the largest beach in Chicago, which means there’s plenty of room for humans too.",dogs love as much as people do offers one of the only official dog beaches in the city with a fenced off section on the northern end of beach where pups can swim and run free without a leash it s also the largest beach in chicago which means there s plenty of room for humans too ,
Museum of Science & Industry,family,,"The  is the largest science museum in the Western Hemisphere, which means there’s plenty of room for spinning tornados, a real-life U-boat, trains, planes, and, well, just about everything else you could possibly imagine. Oh, and don’t miss screenings at the five-story, wraparound Giant Dome Theater.",largest science museum western hemisphere mean plenty room spinning tornado real life u boat train plane well everything else could possibly imagine oh miss screening five story wraparound giant dome theater,
Navy Pier ,all,waterfronts,"Iconic is the place for rides on a towering climate-controlled Ferris wheel, an old-fashioned Wave Swinger, and a whimsical 1920s-inspired musical carousel at Pier Park. And it’s the place to feel the excitement of summer fireworks, sightseeing cruises, Segway tours, an amazing maze, the Chicago Children’s Museum, fun stores, and the immersive FlyOver Chicago ride.

Spend the day at , a former naval ship dock transformed into a lakefront playground. Enter via Polk Bros Park, featuring a fountain with magnificent water jets and the new Peoples Energy Welcome Pavilion, which greets guests in various languages. Enjoy live music and theatre at Fifth Third Bank Family Pavilion, immerse yourself in a flick at the AMC  IMAX Theatre, climb through a schooner at the Chicago Children’s Museum and head to Pier Park for a spin on the nearly 200-foot-tall Centennial Wheel. The entertainment continues with works by The Bard at The Yard at Chicago Shakespeare and live music coupled with great water views at the Miller Lite Beer Garden.","iconic place ride towering climate controlled ferris wheel old fashioned wave swinger whimsical inspired musical carousel pier park place feel excitement summer firework sightseeing cruise segway tour amazing maze chicago child museum fun store immersive flyover chicago ride

spend the day at a former naval ship dock transformed into a lakefront playground enter via polk bros park featuring a fountain with magnificent water jets and the new peoples energy welcome pavilion which greets guests in various languages enjoy live music and theatre at fifth third bank family pavilion immerse yourself in a flick at the amc imax theatre climb through a schooner at the chicago children s museum and head to pier park for a spin on the nearly  foot tall centennial wheel the entertainment continues with works by the bard at the yard at chicago shakespeare and live music coupled with great water views at the miller lite beer garden ",https://cdn.choosechicago.com/uploads/2019/05/NAVY-PIER-79-900x601.jpg
Neighborhood 1,couple,picnic,": ChinatownThe spot: Ping Tom Memorial Park is a riverfront park that features Chinese-inspired design (like the ornate pavilion), a playground, and boat house with seasonal kayak rentals. The rolling green space was originally a rail yard, but has been transformed into a treasured park for the Chinatown community. Find a picnic spot along the water and enjoy the unique skyline views.Where to order: Order a round of dim sum to-go from MingHin Cuisine, handmade dumplings from Qing Xian Yuan, or traditional treats from the oldest bakery in Chinatown, Chiu Quon Bakery.", chinatownthe spot ping tom memorial park is a riverfront park that features chinese inspired design like the ornate pavilion a playground and boat house with seasonal kayak rentals the rolling green space was originally a rail yard but has been transformed into a treasured park for the chinatown community find a picnic spot along the water and enjoy the unique skyline views where to order order a round of dim sum to go from minghin cuisine handmade dumplings from qing xian yuan or traditional treats from the oldest bakery in chinatown chiu quon bakery ,https://cdn.choosechicago.com/uploads/2019/08/CC_Ping_Tom_Park_Chinatown_c740e9aa-d935-4d02-8e52-f17bac5b22e4.jpg
Neighborhood 2,couple,picnic,": LoopThe spot: One of the city’s most iconic green spaces, the Great Lawn at Millennium Park is a great place for an outdoor picnic. Find a spot in the grass beneath the soaring Pritzker Pavilion and marvel at the stunning architecture all around you. Afterward, go for a stroll in the peaceful Lurie Gardens.Where to eat: Pick up some German classics from legendary spot The Berghoff, a picnic pack from About Last Knife, or stock up on sweets inside Revival Food Hall.", loopthe spot one of the city s most iconic green spaces the great lawn at millennium park is a great place for an outdoor picnic find a spot in the grass beneath the soaring pritzker pavilion and marvel at the stunning architecture all around you afterward go for a stroll in the peaceful lurie gardens where to eat pick up some german classics from legendary spot the berghoff a picnic pack from about last knife or stock up on sweets inside revival food hall ,https://cdn.choosechicago.com/uploads/2018/05/AM_ChooseChicagoChicagoGospelMusicFest2016-7-900x601.jpg
Neighborhood 3,couple,picnic,": Hyde ParkThe spot: Named for one of Chicago’s most famous architects, Burnham Park boasts an appropriately jaw-dropping skyline view. The lakefront oasis includes Promontory Point, which juts out into the blue waters of Lake Michigan and offers a picturesque picnic spot.Where to eat: Grab paninis and salads to-go at Piccolo Mondo, noodles at Siam Thai, or Southern American dishes with a twist from Virtue.", hyde parkthe spot named for one of chicago s most famous architects burnham park boasts an appropriately jaw dropping skyline view the lakefront oasis includes promontory point which juts out into the blue waters of lake michigan and offers a picturesque picnic spot where to eat grab paninis and salads to go at piccolo mondo noodles at siam thai or southern american dishes with a twist from virtue ,https://cdn.choosechicago.com/uploads/2019/05/CC_east_hyde_park_bff4830f-09a0-4c11-bac3-1e13c9ba4912.jpg
Neighborhood 4,couple,picnic,": Washington Park/WoodlawnThe spot: Washington Park is lovely all year round, but it’s particularly beautiful in the spring and summer. That’s when the park comes to life with colorful local flowers, making it a picture-perfect backdrop for an afternoon picnic. And make time to visit the nearby DuSable Museum when you’re done.Where to eat: Order carry-out pies from Nella Pizza e Pasta, soul food staples from Evelyn’s Food Love, or hot chicken from The Budlong.", washington park woodlawnthe spot washington park is lovely all year round but it s particularly beautiful in the spring and summer that s when the park comes to life with colorful local flowers making it a picture perfect backdrop for an afternoon picnic and make time to visit the nearby dusable museum when you re done where to eat order carry out pies from nella pizza e pasta soul food staples from evelyn s food love or hot chicken from the budlong ,https://cdn.choosechicago.com/uploads/2019/05/Washington-Park-DuSable-Museum_Chicago-Park-District-900x459.jpg
Neighborhood 5,couple,picnic,": Lincoln ParkThe spot: While there are plenty of picnic spots around Lincoln Park, Alfred Caldwell Lily Pool is truly unique. This hidden gem is tucked away just to the north of Lincoln Park Zoo, creating a quiet oasis in the heart of Lincoln Park. Find a spot near the water to gaze out at the blooming lilies and peaceful waterfall.Where to eat: Enjoy romantic French cuisine from Mon Ami Gabi, modern Italian fare from Casati’s, or Cuban sandwiches from Cafecito,", lincoln parkthe spot while there are plenty of picnic spots around lincoln park alfred caldwell lily pool is truly unique this hidden gem is tucked away just to the north of lincoln park zoo creating a quiet oasis in the heart of lincoln park find a spot near the water to gaze out at the blooming lilies and peaceful waterfall where to eat enjoy romantic french cuisine from mon ami gabi modern italian fare from casati s or cuban sandwiches from cafecito ,https://cdn.choosechicago.com/uploads/2019/07/CC-Alfred-Caldwell-Lily-Pond_02-900x599.jpg
Neighborhood 6,couple,picnic,": Humboldt ParkThe spot: This charming park is known for its meandering lagoon and historic boathouse. Take a stroll around the water, admiring the wildflowers and swan-shaped paddle boats, then grab a spot in the grass. There’s plenty of room to sprawl out and enjoy a lazy day of picnicking, bird watching, and enjoying the park’s natural beauty.Where to eat: Order sandwiches from Humboldt Haus, baked goods and old-fashioned soda from Spinning J, or Puerto Rican specialties from La Bruquena.", humboldt parkthe spot this charming park is known for its meandering lagoon and historic boathouse take a stroll around the water admiring the wildflowers and swan shaped paddle boats then grab a spot in the grass there s plenty of room to sprawl out and enjoy a lazy day of picnicking bird watching and enjoying the park s natural beauty where to eat order sandwiches from humboldt haus baked goods and old fashioned soda from spinning j or puerto rican specialties from la bruquena ,https://cdn.choosechicago.com/uploads/2019/06/Humboldt-Park-900x600.jpg
Neighborhood 7,couple,picnic,": Ravenswood/Lincoln SquareThe spot: Winnemac Park has acres and acres of green space dotted with shady trees and weeping willows, perfect for an afternoon picnic. Along with plenty of spots to sit and eat, the park features a scenic prairie garden and nature trail filled with local wildflowers and plants. And the park is a short walk from the many Lincoln Avenue restaurants in Lincoln Square.Where to eat: Carry out mussels and fries from Hopleaf, sandwiches and bakery favorite from Cafe Selmarie, or Old World specialities from Gene’s Sausage Shop and Delicatessen.", ravenswood lincoln squarethe spot winnemac park has acres and acres of green space dotted with shady trees and weeping willows perfect for an afternoon picnic along with plenty of spots to sit and eat the park features a scenic prairie garden and nature trail filled with local wildflowers and plants and the park is a short walk from the many lincoln avenue restaurants in lincoln square where to eat carry out mussels and fries from hopleaf sandwiches and bakery favorite from cafe selmarie or old world specialities from gene s sausage shop and delicatessen ,
Norman’s Bistro,couple,outdoor dining,": Near Bronzeville,  has a low-key patio where guests enjoy elevated takes on American Creole food.", near bronzeville has a low key patio where guests enjoy elevated takes on american creole food ,
