title,description,personas,category,text_cleaned_lemmatized,image_url,text_cleaned,website
Mesler,": In Hyde Park, ’s intimate patio features string lights and lounge-style seating outside The Sophy Hotel.",couple,outdoor dining, in hyde park s intimate patio features string lights and lounge style seating outside the sophy hotel ,,,choosechicago
Millennium Park,"In  each summer, kids splash around in Crown Fountain’s shallow pool and dash underneath the water spouting from the lips of video-projected Chicago locals. Springtime is perfect for a self-guided scavenger hunt through Lurie Garden. In winter, skate with the city skyline as your backdrop at the magical McCormick Tribune Ice Rink. And no matter the season, and make faces in the reflective surface of the stainless steel sculpture Cloud Gate, aka “The Bean.”",family,,summer kid splash around crown fountain shallow pool dash underneath water spouting lip video projected chicago local springtime perfect self guided scavenger hunt lurie garden winter skate city skyline backdrop magical mccormick tribune ice rink matter season make face reflective surface stainless steel sculpture cloud gate aka “ bean,https://cdn.choosechicago.com/uploads/2019/05/ChooseChicago_Millenium-Park.jpg,,choosechicago
MingHin Cuisine,"Enjoy a mid-day dim sum brunch at  in Chinatown. Take your pick from steaming bamboo trays of shrimp dumplings, honey-glazed short ribs, fried spring rolls, pork buns, and more — all perfect for sharing.",couple,romantic weekend,enjoy a mid day dim sum brunch at in chinatown take your pick from steaming bamboo trays of shrimp dumplings honey glazed short ribs fried spring rolls pork buns and more — all perfect for sharing ,https://cdn.choosechicago.com/uploads/2019/06/AA_Gejas_11-900x600.jpg,,choosechicago
modern Japanese fare,"This acclaimed spot in the West Loop specializes in . In the main dining room, you’ll find a stylish space and a menu that blends traditional flavors and contemporary techniques. Order an Imperial strip steak roasted over hot coals or expertly prepared slices of sashimi. After dinner, head downstairs to The Izakaya. This sultry, subterranean bar features hand-painted Japanese menus, moody neon lights, and a curated selection of cocktails, sakes, and Japanese whiskeys.",couple,romantic restaurants,this acclaimed spot in the west loop specializes in in the main dining room you ll find a stylish space and a menu that blends traditional flavors and contemporary techniques order an imperial strip steak roasted over hot coals or expertly prepared slices of sashimi after dinner head downstairs to the izakaya this sultry subterranean bar features hand painted japanese menus moody neon lights and a curated selection of cocktails sakes and japanese whiskeys ,https://cdn.choosechicago.com/uploads/2019/06/IMG_6311-900x600.jpg,,choosechicago
Montrose Beach,"Dogs love  as much as people do.  offers one of the only official dog beaches in the city, with a fenced-off section on the northern end of beach where pups can swim and run free without a leash. It’s also the largest beach in Chicago, which means there’s plenty of room for humans too.",couple,beaches,dogs love as much as people do offers one of the only official dog beaches in the city with a fenced off section on the northern end of beach where pups can swim and run free without a leash it s also the largest beach in chicago which means there s plenty of room for humans too ,,,choosechicago
Museum of Science & Industry,"The  is the largest science museum in the Western Hemisphere, which means there’s plenty of room for spinning tornados, a real-life U-boat, trains, planes, and, well, just about everything else you could possibly imagine. Oh, and don’t miss screenings at the five-story, wraparound Giant Dome Theater.",family,,largest science museum western hemisphere mean plenty room spinning tornado real life u boat train plane well everything else could possibly imagine oh miss screening five story wraparound giant dome theater,,,choosechicago
Navy Pier ,"Iconic is the place for rides on a towering climate-controlled Ferris wheel, an old-fashioned Wave Swinger, and a whimsical 1920s-inspired musical carousel at Pier Park. And it’s the place to feel the excitement of summer fireworks, sightseeing cruises, Segway tours, an amazing maze, the Chicago Children’s Museum, fun stores, and the immersive FlyOver Chicago ride.

Spend the day at , a former naval ship dock transformed into a lakefront playground. Enter via Polk Bros Park, featuring a fountain with magnificent water jets and the new Peoples Energy Welcome Pavilion, which greets guests in various languages. Enjoy live music and theatre at Fifth Third Bank Family Pavilion, immerse yourself in a flick at the AMC  IMAX Theatre, climb through a schooner at the Chicago Children’s Museum and head to Pier Park for a spin on the nearly 200-foot-tall Centennial Wheel. The entertainment continues with works by The Bard at The Yard at Chicago Shakespeare and live music coupled with great water views at the Miller Lite Beer Garden.",all,waterfronts,"iconic place ride towering climate controlled ferris wheel old fashioned wave swinger whimsical inspired musical carousel pier park place feel excitement summer firework sightseeing cruise segway tour amazing maze chicago child museum fun store immersive flyover chicago ride

spend the day at a former naval ship dock transformed into a lakefront playground enter via polk bros park featuring a fountain with magnificent water jets and the new peoples energy welcome pavilion which greets guests in various languages enjoy live music and theatre at fifth third bank family pavilion immerse yourself in a flick at the amc imax theatre climb through a schooner at the chicago children s museum and head to pier park for a spin on the nearly  foot tall centennial wheel the entertainment continues with works by the bard at the yard at chicago shakespeare and live music coupled with great water views at the miller lite beer garden ",https://cdn.choosechicago.com/uploads/2019/05/NAVY-PIER-79-900x601.jpg,,choosechicago
Neighborhood 1,": ChinatownThe spot: Ping Tom Memorial Park is a riverfront park that features Chinese-inspired design (like the ornate pavilion), a playground, and boat house with seasonal kayak rentals. The rolling green space was originally a rail yard, but has been transformed into a treasured park for the Chinatown community. Find a picnic spot along the water and enjoy the unique skyline views.Where to order: Order a round of dim sum to-go from MingHin Cuisine, handmade dumplings from Qing Xian Yuan, or traditional treats from the oldest bakery in Chinatown, Chiu Quon Bakery.",couple,picnic, chinatownthe spot ping tom memorial park is a riverfront park that features chinese inspired design like the ornate pavilion a playground and boat house with seasonal kayak rentals the rolling green space was originally a rail yard but has been transformed into a treasured park for the chinatown community find a picnic spot along the water and enjoy the unique skyline views where to order order a round of dim sum to go from minghin cuisine handmade dumplings from qing xian yuan or traditional treats from the oldest bakery in chinatown chiu quon bakery ,https://cdn.choosechicago.com/uploads/2019/08/CC_Ping_Tom_Park_Chinatown_c740e9aa-d935-4d02-8e52-f17bac5b22e4.jpg,,choosechicago
Neighborhood 2,": LoopThe spot: One of the city’s most iconic green spaces, the Great Lawn at Millennium Park is a great place for an outdoor picnic. Find a spot in the grass beneath the soaring Pritzker Pavilion and marvel at the stunning architecture all around you. Afterward, go for a stroll in the peaceful Lurie Gardens.Where to eat: Pick up some German classics from legendary spot The Berghoff, a picnic pack from About Last Knife, or stock up on sweets inside Revival Food Hall.",couple,picnic, loopthe spot one of the city s most iconic green spaces the great lawn at millennium park is a great place for an outdoor picnic find a spot in the grass beneath the soaring pritzker pavilion and marvel at the stunning architecture all around you afterward go for a stroll in the peaceful lurie gardens where to eat pick up some german classics from legendary spot the berghoff a picnic pack from about last knife or stock up on sweets inside revival food hall ,https://cdn.choosechicago.com/uploads/2018/05/AM_ChooseChicagoChicagoGospelMusicFest2016-7-900x601.jpg,,choosechicago
Neighborhood 3,": Hyde ParkThe spot: Named for one of Chicago’s most famous architects, Burnham Park boasts an appropriately jaw-dropping skyline view. The lakefront oasis includes Promontory Point, which juts out into the blue waters of Lake Michigan and offers a picturesque picnic spot.Where to eat: Grab paninis and salads to-go at Piccolo Mondo, noodles at Siam Thai, or Southern American dishes with a twist from Virtue.",couple,picnic, hyde parkthe spot named for one of chicago s most famous architects burnham park boasts an appropriately jaw dropping skyline view the lakefront oasis includes promontory point which juts out into the blue waters of lake michigan and offers a picturesque picnic spot where to eat grab paninis and salads to go at piccolo mondo noodles at siam thai or southern american dishes with a twist from virtue ,https://cdn.choosechicago.com/uploads/2019/05/CC_east_hyde_park_bff4830f-09a0-4c11-bac3-1e13c9ba4912.jpg,,choosechicago
Neighborhood 4,": Washington Park/WoodlawnThe spot: Washington Park is lovely all year round, but it’s particularly beautiful in the spring and summer. That’s when the park comes to life with colorful local flowers, making it a picture-perfect backdrop for an afternoon picnic. And make time to visit the nearby DuSable Museum when you’re done.Where to eat: Order carry-out pies from Nella Pizza e Pasta, soul food staples from Evelyn’s Food Love, or hot chicken from The Budlong.",couple,picnic, washington park woodlawnthe spot washington park is lovely all year round but it s particularly beautiful in the spring and summer that s when the park comes to life with colorful local flowers making it a picture perfect backdrop for an afternoon picnic and make time to visit the nearby dusable museum when you re done where to eat order carry out pies from nella pizza e pasta soul food staples from evelyn s food love or hot chicken from the budlong ,https://cdn.choosechicago.com/uploads/2019/05/Washington-Park-DuSable-Museum_Chicago-Park-District-900x459.jpg,,choosechicago
Neighborhood 5,": Lincoln ParkThe spot: While there are plenty of picnic spots around Lincoln Park, Alfred Caldwell Lily Pool is truly unique. This hidden gem is tucked away just to the north of Lincoln Park Zoo, creating a quiet oasis in the heart of Lincoln Park. Find a spot near the water to gaze out at the blooming lilies and peaceful waterfall.Where to eat: Enjoy romantic French cuisine from Mon Ami Gabi, modern Italian fare from Casati’s, or Cuban sandwiches from Cafecito,",couple,picnic, lincoln parkthe spot while there are plenty of picnic spots around lincoln park alfred caldwell lily pool is truly unique this hidden gem is tucked away just to the north of lincoln park zoo creating a quiet oasis in the heart of lincoln park find a spot near the water to gaze out at the blooming lilies and peaceful waterfall where to eat enjoy romantic french cuisine from mon ami gabi modern italian fare from casati s or cuban sandwiches from cafecito ,https://cdn.choosechicago.com/uploads/2019/07/CC-Alfred-Caldwell-Lily-Pond_02-900x599.jpg,,choosechicago
Neighborhood 6,": Humboldt ParkThe spot: This charming park is known for its meandering lagoon and historic boathouse. Take a stroll around the water, admiring the wildflowers and swan-shaped paddle boats, then grab a spot in the grass. There’s plenty of room to sprawl out and enjoy a lazy day of picnicking, bird watching, and enjoying the park’s natural beauty.Where to eat: Order sandwiches from Humboldt Haus, baked goods and old-fashioned soda from Spinning J, or Puerto Rican specialties from La Bruquena.",couple,picnic, humboldt parkthe spot this charming park is known for its meandering lagoon and historic boathouse take a stroll around the water admiring the wildflowers and swan shaped paddle boats then grab a spot in the grass there s plenty of room to sprawl out and enjoy a lazy day of picnicking bird watching and enjoying the park s natural beauty where to eat order sandwiches from humboldt haus baked goods and old fashioned soda from spinning j or puerto rican specialties from la bruquena ,https://cdn.choosechicago.com/uploads/2019/06/Humboldt-Park-900x600.jpg,,choosechicago
Neighborhood 7,": Ravenswood/Lincoln SquareThe spot: Winnemac Park has acres and acres of green space dotted with shady trees and weeping willows, perfect for an afternoon picnic. Along with plenty of spots to sit and eat, the park features a scenic prairie garden and nature trail filled with local wildflowers and plants. And the park is a short walk from the many Lincoln Avenue restaurants in Lincoln Square.Where to eat: Carry out mussels and fries from Hopleaf, sandwiches and bakery favorite from Cafe Selmarie, or Old World specialities from Gene’s Sausage Shop and Delicatessen.",couple,picnic, ravenswood lincoln squarethe spot winnemac park has acres and acres of green space dotted with shady trees and weeping willows perfect for an afternoon picnic along with plenty of spots to sit and eat the park features a scenic prairie garden and nature trail filled with local wildflowers and plants and the park is a short walk from the many lincoln avenue restaurants in lincoln square where to eat carry out mussels and fries from hopleaf sandwiches and bakery favorite from cafe selmarie or old world specialities from gene s sausage shop and delicatessen ,,,choosechicago
Norman’s Bistro,": Near Bronzeville,  has a low-key patio where guests enjoy elevated takes on American Creole food.",couple,outdoor dining, near bronzeville has a low key patio where guests enjoy elevated takes on american creole food ,,,choosechicago
North Avenue Beach,"is home to one of the most popular beachfront restaurants. Castaways is instantly recognizable — when you spot the giant ship washed up on the sand, you’ll know you’re in the right place. While the first level’s menu consists of ice cream and snacks, the rooftop is a beach bar and grill with burgers and frozen cocktails. The atmosphere is laidback during the week with casual beachgoers, and more high-energy on summer weekends when live DJs bring a party vibe.

is one of Chicago’s most popular beaches with locals and visitors alike, thanks to its spacious sands, cool beachfront bars, and convenient location near other top attractions (like the nearby Lincoln Park Zoo).",couple,"waterfront, beach","s home to one of the most popular beachfront restaurants castaways is instantly recognizable — when you spot the giant ship washed up on the sand you ll know you re in the right place while the first level s menu consists of ice cream and snacks the rooftop is a beach bar and grill with burgers and frozen cocktails the atmosphere is laidback during the week with casual beachgoers and more high energy on summer weekends when live djs bring a party vibe 

s one of chicago s most popular beaches with locals and visitors alike thanks to its spacious sands cool beachfront bars and convenient location near other top attractions like the nearby lincoln park zoo ",https://cdn.choosechicago.com/uploads/2019/05/castaways_cabanas_04_44756dc8-15a6-4940-b257-5b67cec60fb8-900x598.jpg,,choosechicago
Northerly Island,"This unique beach is situated on the eastern edge of , a man-made peninsula that stretches along the lakefront. It’s a spot known for spectacular, panoramic views if the surrounding cityscape, so make sure to bring your camera.",couple,beaches,this unique beach is situated on the eastern edge of a man made peninsula that stretches along the lakefront it s a spot known for spectacular panoramic views if the surrounding cityscape so make sure to bring your camera ,https://cdn.choosechicago.com/uploads/2019/06/AA_NortherlyIsle_18-900x600.jpg,,choosechicago
O’Briens Riverwalk Café,"offers a sun-soaked patio, live music, and a menu filled with classic American fare with a hint of Ireland — choose from corned beef sandwiches, hot dogs, cobb salads, burgers, and more. The drink menu includes wine by the glass and bottle, domestic and imported beer, and a selection of cocktails.",couple,riverwalk restaurants,offers a sun soaked patio live music and a menu filled with classic american fare with a hint of ireland — choose from corned beef sandwiches hot dogs cobb salads burgers and more the drink menu includes wine by the glass and bottle domestic and imported beer and a selection of cocktails ,https://cdn.choosechicago.com/uploads/2019/06/day-chicago-riverwalk-900x450.jpg,,choosechicago
Oak Street Beach,"Its close proximity to downtown and The Magnificent Mile makes  an easy (and scenic) pit stop. That also means you’ll get an up-close view of some iconic Chicago buildings, like 875 N. Michigan Ave. and historic The Drake Hotel.",couple,beaches,its close proximity to downtown and the magnificent mile makes an easy and scenic pit stop that also means you ll get an up close view of some iconic chicago buildings like  n michigan ave and historic the drake hotel ,https://cdn.choosechicago.com/uploads/2019/06/AAlexander_WaterCrashing-2-900x600.jpg,,choosechicago
Oda Mediterranean Cuisine,": Enjoy Turkish and Georgian cuisines, paired with unique wines, on the flower-filled sidewalk patio at this Andersonville gem.",couple,outdoor dining, enjoy turkish and georgian cuisines paired with unique wines on the flower filled sidewalk patio at this andersonville gem ,,,choosechicago
Orso’s Restaurant,"Grab a seat in the cozy dining room or on lush patio at Old Town’s , a family-owned Italian spot filled with old-world charm.",couple,date night ideas,grab a seat in the cozy dining room or on lush patio at old town s a family owned italian spot filled with old world charm ,https://cdn.choosechicago.com/uploads/2019/05/CH_ChooseChicago_Second_City_Facade_c197ddf4-e7d1-4b92-b003-6d2705f84b93-900x600.jpg,,choosechicago
Parson’s Chicken & Fish,"In Logan Square,  boasts a spacious outdoor patio outfitted with cheery picnic tables, red-and-white-striped umbrellas, string lights, and ping-pong tables. Head to the outdoor bar to try their signature negroni slushy, which pairs perfectly with their menu of fried chicken and fish.",couple,outdoor dining,in logan square boasts a spacious outdoor patio outfitted with cheery picnic tables red and white striped umbrellas string lights and ping pong tables head to the outdoor bar to try their signature negroni slushy which pairs perfectly with their menu of fried chicken and fish ,https://cdn.choosechicago.com/uploads/2019/06/PARSONS_Exterior_2_credit_Clayton_Hauck_a23125c1-e5d2-4295-9609-d76aa8b27da8.jpg,,choosechicago
Peggy Notebaert Nature Museum,"From native animals and nature-inspired art, to toddler-friendly play spaces and an exotic butterfly house, the exhibits at Peggy Notebaert Museum are sure to thrill young visitors (and grown-up ones, too). As a bonus, the museum sits within the grounds and gardens of Lincoln Park, where kids can run wild among shady trees, blossoming flowers, and chattering squirrels.",family,,native animal nature inspired art toddler friendly play space exotic butterfly house exhibit peggy notebaert museum sure thrill young visitor grown one bonus museum sits within ground garden lincoln park kid run wild among shady tree blossoming flower chattering squirrel,https://cdn.choosechicago.com/uploads/2019/06/Peggy-Notebaert-Nature-Museum-garden-4-900x600.jpg,,choosechicago
Piccolo Sogno,": The patio at this refined Italian spot in West Town has major secret garden vibes. The charming outdoor space features string lights, yellow umbrellas, and ivy-covered walls.",couple,outdoor dining, the patio at this refined italian spot in west town has major secret garden vibes the charming outdoor space features string lights yellow umbrellas and ivy covered walls ,,,choosechicago
Pier 31,"Enjoy a quick bite, cocktails, and panoramic water views at this casual waterfront patio. , located at 31st Street Beach, is a beachside bar and grill featuring a walk-up window for ordering, plenty of outdoor seating on the lively deck, and free live music while you watch the boats drift in and out of the harbor.",couple,waterfront restaurants,enjoy a quick bite cocktails and panoramic water views at this casual waterfront patio located at st street beach is a beachside bar and grill featuring a walk up window for ordering plenty of outdoor seating on the lively deck and free live music while you watch the boats drift in and out of the harbor ,,,choosechicago
Ping Tom Memorial Park,"Walk off brunch with a stroll through bustling Chinatown. Pop into souvenir shops, gaze at the ornate Chinese architecture adorning the streets, and find some solitude at scenic . Rent a two-person kayak and set off on the Chicago River, where you’ll be rewarded with stunning views of the city skyline.",couple,romantic weekend,walk off brunch with a stroll through bustling chinatown pop into souvenir shops gaze at the ornate chinese architecture adorning the streets and find some solitude at scenic rent a two person kayak and set off on the chicago river where you ll be rewarded with stunning views of the city skyline ,,,choosechicago
Pizzeria Portofino,"You’ll be instantly transported to the coast of Italy at this riverfront restaurant. Their patio at  is always packed with people sipping Aperol spritz and soaking in the sun, while boats sail past on the calm Chicago River. An indoor/outdoor bar connects the patio to the main dining space, making the entire restaurant feel open air. The menu includes casual Italian favorites, like zucchini blossoms, burrata, hand-stretched pizzas, and cacio e pepe.",couple,outdoor dining,you ll be instantly transported to the coast of italy at this riverfront restaurant their patio at is always packed with people sipping aperol spritz and soaking in the sun while boats sail past on the calm chicago river an indoor outdoor bar connects the patio to the main dining space making the entire restaurant feel open air the menu includes casual italian favorites like zucchini blossoms burrata hand stretched pizzas and cacio e pepe ,https://cdn.choosechicago.com/uploads/2019/12/PizzeriaPortofino_Interior_Credit_HsingChen-900x514.jpg,,choosechicago
PlayMakers Laboratory,"has been celebrating the power of children’s imaginations since 1997, with arts programs that focus on storytelling, theatre, and social-emotional skills. In fact, the professional actors perform material written by Chicago Public School students, providing a unique outlet for their creative works.",family,,celebrating power child imagination since art program focus storytelling theatre social emotional skill fact professional actor perform material written chicago public school student providing unique outlet creative work,,,choosechicago
Porter Kitchen & Deck,": This riverside spot has two outdoor seating areas, including a waterfront patio and an elevated deck with city views.",couple,outdoor dining, this riverside spot has two outdoor seating areas including a waterfront patio and an elevated deck with city views ,,,choosechicago
Rainbow Beach,"This southside beach is named after a U.S. Army division that fought in WWII. The lakefront area was first established in 1908 and was originally known as Rocky Ledge Beach due to the rough terrain. The beach was extremely popular in the early 1900s since rare electric lighting allowed local workers to enjoy the beach at night. An expansion in 1918 connected Rocky Ledge with another nearby beach, creating the sandy shores of modern-day .",couple,beaches,this southside beach is named after a u s army division that fought in wwii the lakefront area was first established in  and was originally known as rocky ledge beach due to the rough terrain the beach was extremely popular in the early s since rare electric lighting allowed local workers to enjoy the beach at night an expansion in  connected rocky ledge with another nearby beach creating the sandy shores of modern day ,https://cdn.choosechicago.com/uploads/2019/06/CC_Rainbow_Beach_169_20130710_aerials-900x599.jpg,,choosechicago
Reggie’s on the Beach,"The beloved South Loop rock club has opened a waterfront restaurant and bar on 63rd Street Beach.  is open all day for food and drinks, featuring casual dishes like burgers and salads and plenty of tropical drinks. Check the schedule for their line-up of free concerts with an emphasis on reggae, blues, jazz, and funk.",couple,waterfront restaurants,the beloved south loop rock club has opened a waterfront restaurant and bar on rd street beach is open all day for food and drinks featuring casual dishes like burgers and salads and plenty of tropical drinks check the schedule for their line up of free concerts with an emphasis on reggae blues jazz and funk ,https://cdn.choosechicago.com/uploads/2019/05/69387526_2532207166799914_2601620961459437568_o-900x674.jpg,,choosechicago
Robert’s Pizza ,"Located on a quiet stretch of waterfront, is a hidden gem serving artisan pizzas on their picture-perfect patio. Explore the menu of thin-crust pies and small plates, plus a full wine list and cocktail menu. It’s also the perfect place to watch the Navy Pier summer fireworks on Wednesdays and Saturdays during the summer.",couple,outdoor dining,located on a quiet stretch of waterfront is a hidden gem serving artisan pizzas on their picture perfect patio explore the menu of thin crust pies and small plates plus a full wine list and cocktail menu it s also the perfect place to watch the navy pier summer fireworks on wednesdays and saturdays during the summer ,https://cdn.choosechicago.com/uploads/2022/06/Roberts-Pizza-Patio-Sunset-3-900x600.jpg,,choosechicago
RPM Seafood,"Overlooking the majestic Chicago River,  is an upscale fine-dining establishment. Ideal for special occasions, this centrally located waterfront restaurant is home to a full-service bar and an extensive menu of fresh seafood, housemade pasta dishes, and prime cuts of steak.",couple,romantic restaurants,overlooking the majestic chicago river is an upscale fine dining establishment ideal for special occasions this centrally located waterfront restaurant is home to a full service bar and an extensive menu of fresh seafood housemade pasta dishes and prime cuts of steak ,https://cdn.choosechicago.com/uploads/2020/02/RPM-Seafood-©John-Stoffer-900x580.png,,choosechicago
Sapori Trattoria,"For a relaxed date night, drop by  in Lincoln Park to savor traditional Italian comfort food in a classy yet comfortable setting. Whether dining indoors or outside on the patio, you can expect a noteworthy meal involving antipasti, fresh pasta, homemade desserts, and tasty libations.",couple,romantic restaurants,for a relaxed date night drop by in lincoln park to savor traditional italian comfort food in a classy yet comfortable setting whether dining indoors or outside on the patio you can expect a noteworthy meal involving antipasti fresh pasta homemade desserts and tasty libations ,,,choosechicago
Segnatore,"Leveraging locally available herbs and ingredients,  draws inspiration from the history of Italy’s folk healers. The moody interiors and carefully crafted menu at this neighborhood gem reflect the European culinary roots while also celebrating the bounty and warmth of Midwestern ingredients and culture. Located in a bustling stretch of Humboldt Park, it’s the perfect starting point for a night on the town.",couple,romantic restaurants,leveraging locally available herbs and ingredients draws inspiration from the history of italy s folk healers the moody interiors and carefully crafted menu at this neighborhood gem reflect the european culinary roots while also celebrating the bounty and warmth of midwestern ingredients and culture located in a bustling stretch of humboldt park it s the perfect starting point for a night on the town ,,,choosechicago
Sepia,"Located in a former 1890s print shop,  is all about simple sophistication. The brick and wood interior evokes old-school Chicago, while the food is all modern. Acclaimed chef Andrew Zimmerman sources from local artisan suppliers for his seasonal menus, working to showcase the purity and flavor of each ingredient. The impressive cocktail and wine list completes the date night checklist.",couple,romantic restaurants,located in a former s print shop is all about simple sophistication the brick and wood interior evokes old school chicago while the food is all modern acclaimed chef andrew zimmerman sources from local artisan suppliers for his seasonal menus working to showcase the purity and flavor of each ingredient the impressive cocktail and wine list completes the date night checklist ,https://cdn.choosechicago.com/uploads/2019/06/Sepia_d_turner_dining_room_copy_61117e99-bde0-46b1-b307-bcade521bd0b.jpg,,choosechicago
Shedd Aquarium ,"Right next door to Adler Planetarium and Field Museum on the Museum Campus, gives new meaning to “wow.” Not only can you explore underwater worlds from across the globe, but the Shedd offers unique, up-close-and-personal experiences, like museum sleepovers, behind-the-scenes tours, and extraordinary animal encounters, like joining in a shark feeding tour, being a trainer for a day, and interacting with stingrays.",family,,right next door adler planetarium field museum museum campus give new meaning “ wow explore underwater world across globe shedd offer unique close personal experience like museum sleepover behind scene tour extraordinary animal encounter like joining shark feeding tour trainer day interacting stingray,https://cdn.choosechicago.com/uploads/2019/05/Shedd-28-900x600.jpg,,choosechicago
Shore Club,"Also on the sands of North Avenue Beach, the resort-inspired  feels like an island getaway without leaving the city. Offering three different spaces — the Patio, the Oasis, and the Restaurant — the ’s menu features Mediterranean-inspired shared plates and plenty of summer-y cocktails. In the clubby Oasis area, reserve a private cabana where you can lounge in a daybed while enjoying personalized bottle service.",couple,waterfront restaurants,also on the sands of north avenue beach the resort inspired feels like an island getaway without leaving the city offering three different spaces — the patio the oasis and the restaurant — the s menu features mediterranean inspired shared plates and plenty of summer y cocktails in the clubby oasis area reserve a private cabana where you can lounge in a daybed while enjoying personalized bottle service ,https://cdn.choosechicago.com/uploads/2019/05/SC-Venue-CB-2-900x601.jpg,,choosechicago
Siena Tavern,": This long-time River North staple serves its crowd-pleasing Italian fare on a spacious, buzzy sidewalk patio.",couple,outdoor dining, this long time river north staple serves its crowd pleasing italian fare on a spacious buzzy sidewalk patio ,,,choosechicago
Skydeck Chicago ,"Walk on air at Skydeck Chicago. Located in Willis Tower, one of the tallest buildings in the world, glass boxes extend approximately 4 feet from the skyscraper’s facade, more than 1,300 feet above ground level.",family,,walk air skydeck chicago located willis tower one tallest building world glass box extend approximately foot skyscraper facade foot ground level,https://cdn.choosechicago.com/uploads/2019/06/RP_SKYDECK_28.jpg-900x601.jpg,,choosechicago
Sloomoo Institute,"Kids — and kids at heart — and invited to experience the ‘s interactive slime museum. Visitors can explore a variety of hands-on exhibits featuring all sorts of textural, scented slimes. Come experience the joys of sensory play, soothing ASMR, and contemporary art.",family,,kid kid heart invited experience ‘ interactive slime museum visitor explore variety hand exhibit featuring sort textural scented slime come experience joy sensory play soothing asmr contemporary art,https://cdn.choosechicago.com/uploads/2019/05/GPSphoto-SloomooChicago-8-900x600.jpg,,choosechicago
South Shore Beach ,"is perfect if you’re looking to soak up a little sun and culture, thanks to the nearby South Shore Cultural Center. The beach itself includes a nature sanctuary, sand dunes, a small wetland, a prairie landscape, woodlands, and plenty of sand and sun. The 65-acre area includes a nine-hole golf course, tennis courts, a circular beach house with restrooms and showers, and excellent city views.",couple,beaches,s perfect if you re looking to soak up a little sun and culture thanks to the nearby south shore cultural center the beach itself includes a nature sanctuary sand dunes a small wetland a prairie landscape woodlands and plenty of sand and sun the  acre area includes a nine hole golf course tennis courts a circular beach house with restrooms and showers and excellent city views ,,,choosechicago
South Shore Cultural Center,"Part of the stunning , South Shore Social Beach Club is a hub for fun events all summer long. Check the calendar for live music, line dancing, paint nights, invigorating beach workouts, and a plethora of other outdoor activities. Then grab a bite to eat from their culinary offerings, including burgers, wings, desserts, and a full bar.",couple,waterfront restaurants,part of the stunning south shore social beach club is a hub for fun events all summer long check the calendar for live music line dancing paint nights invigorating beach workouts and a plethora of other outdoor activities then grab a bite to eat from their culinary offerings including burgers wings desserts and a full bar ,,,choosechicago
special holiday dining cruises,"Looking to do something a little different this year? A holiday is the perfect occasion for a boat cruise, whether it’s a daytime Easter brunch or an all-out New Year’s Eve celebration. These  typically include an elegant meal, full bar, music, dancing, and unbeatable city views. You’ll find holiday cruises on the Chicago River and Lake Michigan all year long, including Easter, St. Patrick’s Day, Mother’s Day, Father’s Day, Thanksgiving, New Year’s Eve, and beyond.",couple,dinner cruises,looking to do something a little different this year a holiday is the perfect occasion for a boat cruise whether it s a daytime easter brunch or an all out new year s eve celebration these typically include an elegant meal full bar music dancing and unbeatable city views you ll find holiday cruises on the chicago river and lake michigan all year long including easter st patrick s day mother s day father s day thanksgiving new year s eve and beyond ,https://cdn.choosechicago.com/uploads/2021/06/90b5a3f1-64dc-48b3-9a7c-86507262ec05-900x630.jpeg,,choosechicago
summer in Chicago,"Chicago’s 26 miles of scenic lakefront includes numerous public parks and gardens, an 18-mile Lakefront Trail — and more than two dozen free beaches that open to the public every . Here are a few spots you can kick back and soak in the sun at Chicago’s beautiful beaches.",couple,beaches,chicago s  miles of scenic lakefront includes numerous public parks and gardens an  mile lakefront trail — and more than two dozen free beaches that open to the public every here are a few spots you can kick back and soak in the sun at chicago s beautiful beaches ,,,choosechicago
Summer Music Series,"Millennium Park offers a busy calendar of public events all year round. Don’t miss the beloved  and Summer Film Series, when you can grab a seat on the Great Lawn and enjoy a free show under the stars. The park also is also home to annual festivals, including the Grant Park Music Festival, the Chicago Blues Festival, the Chicago Jazz Festival, and Chicago Gourmet.

The pavilion features a state-of-the-art sound system designed to mimic the acoustics of an indoor theatre. Grab a seat or sprawl out on the Great Lawn with a picnic as you take in Millennium Park’s free events like the annual  and Summer Film Series, and a host of summer festivals, including the Grant Park Music Festival, the Chicago Gospel Music Festival, the Chicago Blues Festival, and the Chicago Jazz Festival.",couple,MillenniumPark,"millennium park offers a busy calendar of public events all year round don t miss the beloved and summer film series when you can grab a seat on the great lawn and enjoy a free show under the stars the park also is also home to annual festivals including the grant park music festival the chicago blues festival the chicago jazz festival and chicago gourmet 

the pavilion features a state of the art sound system designed to mimic the acoustics of an indoor theatre grab a seat or sprawl out on the great lawn with a picnic as you take in millennium park s free events like the annual and summer film series and a host of summer festivals including the grant park music festival the chicago gospel music festival the chicago blues festival and the chicago jazz festival ",https://cdn.choosechicago.com/uploads/2022/03/2021_0916_Concert_Serieres_Millennium_Park-29-2-900x600.jpg,,choosechicago
